Fecha,Linea,LTS,KM,Consumo
2023-02-01,L440,10596.82,32654.18,32.4516493753633
2019-01-18,L125,1278.14,2355.462,54.2628155325792
2019-01-08,L125,1078.26,2209.94,48.7913699014453
2019-01-07,L125,1048.56,3474.054,30.182605106311
2019-01-05,L125,340,1632.293,20.8295937065221
2019-07-09,L146,1170.19,3377.169,34.6500278783798
2019-07-05,L146,3205.48,9116.093,35.162870760533
2019-07-04,L146,2801.5,8343.534,33.5768991892404
2019-06-25,L146,2843.97,7893.456,36.0294654204698
2019-06-24,L146,2244.55,6243.234,35.9517198938883
2019-06-21,L146,2506.08,7332.317,34.1785550188297
2019-06-19,L107,5531.59,14586.226,37.9233805920736
2019-06-11,L102,3051.21,7614.397,40.0715906985149
2019-06-06,L146,3329.33,7511.704,44.3219008629733
2019-06-03,L107,4165.46,10440.301,39.8978918328121
2019-05-31,L107,5031.11,12120.615,41.5087023224482
2019-05-30,L107,5801.28,13900.48,41.7343861506941
2019-05-28,L107,4710.9,10321.008,45.6437975825617
2019-05-24,L107,5383,12119.612,44.4156133051124
2019-05-23,L107,6044.25,14583.741,41.44512714536
2019-05-17,L107,4421.13,10189.379,43.3895922410973
2019-05-16,L107,4763.96,13366.912,35.6399443641134
2019-05-15,L107,4819.08,11848.818,40.6713986154569
2019-05-14,L107,5043.14,14350.221,35.1432915214337
2019-05-09,L107,4609.81,11488.662,40.1248639745864
2019-05-08,L107,5303.65,12856.045,41.2541337557546
2019-05-07,L107,5809.03,14514.629,40.0218979072769
2019-05-03,L107,5328.98,12895.643,41.3238797010742
2019-05-02,L107,5296.38,15333.264,34.5417648845021
2019-04-30,L107,3825.82,11159.39,34.283415132906
2019-04-17,L107,5448.97,12236.629,44.529992696518
2019-04-15,L107,5476.09,13155.596,41.6255561511618
2019-04-11,L107,6080.61,12722.811,47.7929759390437
2019-07-04,L107,5274.1,12662.591,41.6510333469667
2019-07-03,L107,5593.41,13156.219,42.5153305824417
2019-06-13,L146,2342.62,8942.929,26.1952208275387
2019-06-12,L146,1268.31,4073.245,31.1375819524728
2019-06-11,L146,3561.08,9429.268,37.7662401789832
2019-06-10,L146,2735.98,7793.949,35.1038991915395
2019-06-07,L107,4950.83,12337.033,40.1298270013544
2019-06-05,L107,4939.27,12032.997,41.0477123861994
2019-05-27,L107,5789.08,14562.985,39.7520151260199
2019-05-24,L103,3778.64,8443.449,44.7523281066778
2019-01-08,L129,1041.52,2462.06,42.3027870969838
2019-01-07,L129,1568.98,3454.229,45.4220029998011
2019-07-15,L107,4644.76,12320.692,37.6988565252666
2019-07-06,L107,3889.61,9204.527,42.2575760818562
2019-07-05,L107,5109.5,12382.463,41.2640037769545
2019-06-25,L107,5231.55,11736.427,44.5753209217763
2019-06-24,L107,5922.49,13017.422,45.4966428836678
2019-06-21,L107,5426.71,12795.001,42.4127360365193
2019-06-18,L107,5073.33,13094.085,38.7452044186364
2019-06-13,L107,5888.01,17473.33,33.6971258483643
2019-06-11,L107,7492.88,18231.375,41.0988200286594
2019-06-10,L107,5097.61,12428.777,41.0145744830726
2019-06-04,L107,4936.94,13316.414,37.0740951730699
2019-05-22,L107,5082.12,11281.093,45.0498901125981
2019-05-21,L107,5311.82,23606.809,22.5012198810945
2019-05-19,L107,2613.75,6763.923,38.6425155933916
2019-05-11,L107,3175.58,8753.968,36.2758922582308
2019-05-10,L107,4479.17,11869.711,37.7361335924691
2019-05-06,L107,4704.65,12748.014,36.9049641771652
2019-04-29,L107,5173.94,13639.956,37.9322337989947
2019-04-26,L107,5095.35,11798.688,43.1857338714271
2019-04-25,L107,4908.98,12453.055,39.4198853213127
2019-04-24,L107,5022.63,13101.89,38.3351562255522
2019-04-22,L107,5646.65,13988.616,40.3660376408931
2019-04-16,L107,4449.59,11083.125,40.1474313426944
2019-04-12,L107,5080.01,11770.598,43.1584699434982
2019-04-08,L102,2995.79,9218.313,32.4982456117513
2019-04-03,L102,2776.82,7917.004,35.0741265256402
2019-04-01,L102,2928.54,7851.063,37.3011909342722
2019-03-29,L102,2550.51,6518.412,39.1277814289738
2019-03-28,L107,5233.68,14077.127,37.1786089590582
2019-03-27,L107,5349.3,14336.572,37.3122668375676
2019-03-25,L107,5214.02,14833.574,35.1501263282874
2019-03-22,L107,4565.75,12265.533,37.2242282500076
2019-03-21,L107,4756.1,11819.3,40.2401157428951
2019-03-19,L146,2045.82,6634.922,30.8341228427403
2019-03-18,L146,2618.8,8613.884,30.4020811053411
2019-03-14,L125,1428.66,3760.072,37.9955490214017
2019-01-04,L125,698.1,2795.714,24.9703653521068
2019-07-08,L107,2468.95,4874.41,50.6512583061335
2019-07-03,L146,2437.69,7589.435,32.1195187784071
2019-07-02,L146,2618.38,6980.027,37.5124623443434
2019-06-30,L146,1762.05,4402.385,40.0248955963643
2019-06-27,L146,3643.67,10241.357,35.5780000638587
2019-06-23,L146,1597.15,4657.663,34.2908020610336
2019-06-20,L146,1228.71,2992.575,41.0586200847097
2019-06-19,L146,2566.29,7015.597,36.5797807371204
2019-06-18,L146,3211.54,7292.356,44.0398137446937
2019-06-16,L146,1476.98,4110.32,35.9334553027502
2019-06-14,L146,2815.71,6971.205,40.3905780994821
2019-06-04,L146,2721.16,7384.588,36.8491783157029
2019-06-03,L146,2517.33,7453.48,33.773888170358
2019-05-31,L146,2932.59,6938.635,42.2646529180451
2019-05-30,L146,2666.27,8032.845,33.192100681639
2019-05-28,L146,2339.31,5654.947,41.3674964592949
2019-05-27,L146,2600.17,7491.275,34.7093118327654
2019-05-24,L146,3333.52,8144.767,40.928365415487
2019-05-22,L146,2282.09,5645.757,40.4213287961207
2019-05-21,L146,2262.59,6026.864,37.5417464206924
2019-05-20,L146,2386.02,6899.825,34.5808770512295
2019-05-19,L146,1849.92,5146.091,35.948062325365
2019-05-17,L146,3022.23,7424.171,40.7079793824792
2019-05-16,L146,2601.4,7378.807,35.2550215773363
2019-05-15,L146,2677.11,8095.11,33.0707056482247
2019-05-14,L146,2536.38,8107.099,31.2859137405378
2019-05-13,L146,2186.5,5586.223,39.1409365505101
2019-05-11,L146,1277.06,3832.263,33.3239133117952
2019-05-10,L146,3186.1,7927.973,40.1880783398228
2019-05-08,L146,2477.64,6187.717,40.0412623912826
2019-05-07,L146,2819.77,7373.708,38.2408687732142
2019-05-03,L146,2801.08,7235.519,38.7129105735193
2019-05-02,L146,2565.31,6858.7,37.4022773995072
2019-04-30,L146,2181.57,7449.307,29.2855429370813
2019-04-29,L146,2578.45,8195.648,31.4612096566373
2019-04-26,L146,2540.63,7593.061,33.4598918670613
2019-04-25,L146,2837.24,7925.368,35.7994732862878
2019-04-24,L146,2364.9,6222.805,38.0037619690799
2019-04-23,L146,2480.99,6872.624,36.0996032956262
2019-04-22,L102,2842.19,7821.937,36.3361402680691
2019-04-17,L102,2938.79,8663.346,33.9221127725939
2019-04-11,L146,3256,9074.59,35.880408922056
2019-04-09,L146,2837.1,7060.343,40.1836001452054
2019-04-07,L146,1036.02,2989.97,34.6498459850768
2019-04-06,L146,1797.99,5261.178,34.1746658257903
2019-04-05,L146,2720.89,8442.585,32.2281623460113
2019-04-04,L107,4701.06,10542.217,44.5927075870284
2019-04-03,L146,2374.82,8287.683,28.654812207465
2019-04-01,L146,2744.2,7582.156,36.1928717900291
2019-03-30,L146,1710.65,4962.784,34.4695638577057
2019-03-29,L146,2400.24,7858.329,30.5438980729873
2019-03-28,L146,2417.77,8883.877,27.2152574827409
2019-03-27,L146,2198.79,7529.368,29.2028494290623
2019-03-26,L146,2907.22,7891.503,36.8398770170904
2019-03-24,L146,1090.81,3795.023,28.7431723075196
2019-03-22,L146,2916.78,7608.407,38.3362772259686
2019-03-21,L146,2764.65,7493.813,36.8924337983881
2019-03-20,L146,2535,7577.619,33.4537801385897
2019-03-17,L146,1388,4256.84,32.6063464917639
2019-03-15,L146,2269.66,6431.459,35.2899707515822
2019-03-14,L146,2700.86,8395.977,32.1685016526367
2019-03-13,L146,1846.93,5577.236,33.1155073947023
2019-03-12,L107,4535.69,12900.45,35.1591611145348
2019-03-11,L146,2291.65,6893.255,33.2448168535764
2019-03-10,L146,1408.3,4627.63,30.4324243727351
2019-03-07,L146,2937.5,8321.421,35.300461303424
2019-03-06,L146,2074.78,6839.199,30.3365935104389
2019-03-05,L146,1122.51,3351.029,33.4974719705499
2019-03-02,L146,1396.21,4842.62,28.831706803342
2019-03-01,L146,1789.04,5555.72,32.2017668277019
2019-02-28,L146,1785.68,5405.456,33.0347707945454
2019-02-27,L146,2381.08,6592.605,36.1174376441483
2019-02-26,L146,1945.88,6045.12,32.1892700227622
2019-02-25,L146,1366.94,4535.958,30.1356405857374
2019-02-24,L146,1176.98,5742.294,20.4966865158768
2019-02-22,L146,1572.3,7123.812,22.0710484779778
2019-02-20,L146,3127.76,8814.069,35.4859940397562
2019-02-19,L146,1887.5,6374.621,29.6096034572095
2019-02-18,L146,1789.72,5514.135,32.4569492767225
2019-02-17,L146,1298.08,4861.356,26.7020148287844
2019-02-16,L146,1676.68,5825.056,28.7839292875468
2019-02-13,L146,1599.82,4648.056,34.4191205957932
2019-02-12,L146,1975.23,6993.486,28.2438543524646
2019-02-11,L146,1503.9,4366.783,34.4395405038446
2019-02-10,L146,2385.46,7038.827,33.8900217323142
2019-02-08,L146,1244.04,3459.826,35.9567215229899
2019-02-07,L146,1927.78,5344.819,36.0681998773017
2019-02-06,L146,2273.01,7533.745,30.1710503872908
2019-02-05,L146,1848.42,5399.465,34.2333916415793
2019-02-04,L146,1581.56,5153.997,30.6860869340824
2019-02-03,L146,1963.55,7164.765,27.4056441488311
2019-02-01,L146,1440.73,3365.278,42.8116191292369
2019-01-31,L146,2212.53,5665.843,39.0503231381456
2019-01-30,L146,1982.65,5483.512,36.1565726490614
2019-01-29,L146,2041.8,6013.729,33.9523114526777
2019-01-28,L144,950.36,1619.408,58.6856431486074
2019-01-13,L144,432.26,1274.017,33.9289036174557
2019-01-10,L144,521.34,1616.366,32.2538335995684
2019-01-09,L144,541.29,1863.632,29.044897275857
2019-01-08,L144,626.47,1450.404,43.1927931803828
2019-06-28,L146,2326.15,6563.321,35.4416613174946
2019-06-26,L102,3151.73,7809.65,40.3568661847842
2019-06-24,L102,3097.86,7998.681,38.7296355486611
2019-06-21,L102,2641.55,7301.822,36.1765871586571
2019-06-19,L102,3251.07,7974.88,40.7663814377144
2019-06-18,L102,2617.2,8464.592,30.919387490856
2019-06-14,L102,3004.2,7924.275,37.9113546665152
2019-06-13,L102,2572.04,7311.908,35.1760443375382
2019-06-05,L102,2898.48,7485.46,38.7214680193335
2019-06-04,L102,3199.7,7875.528,40.628387074492
2019-06-03,L102,3079.66,8322.04,37.0060706269136
2019-05-31,L102,2904.7,7326.663,39.6456067380198
2019-05-30,L102,3718.39,8412.629,44.2000948811602
2019-05-27,L102,2331.92,7562.48,30.8353873332558
2019-05-24,L102,3228.97,7743.222,41.7005995695332
2019-05-22,L102,2517.22,6984.534,36.0399133285055
2019-05-21,L102,3117.88,10891.611,28.6264355199612
2019-05-17,L102,2714.48,7327.38,37.0457107451777
2019-05-09,L102,3228.76,7574.356,42.62751843193
2019-05-08,L102,2778.22,6726.783,41.3008714566829
2019-05-07,L102,2874.15,6857.878,41.9101943779111
2019-05-06,L102,3054.63,8316.191,36.7311188499639
2019-05-03,L102,2853.49,6959.133,41.0035273072091
2019-05-02,L102,3152.96,8517.759,37.0163091019598
2019-04-30,L102,1947.84,5290.477,36.8178521520838
2019-04-12,L102,2621.33,7035.714,37.2574837464968
2019-04-11,L102,2916.32,6973.709,41.8187796479607
2019-04-10,L102,2432.49,6172.963,39.4055496525737
2019-04-09,L102,2669.61,6951.256,38.4047141984125
2019-04-05,L102,3134.59,7323.86,42.7996985196331
2019-04-04,L102,2555.88,6967.186,36.6845380617081
2019-03-28,L102,2852.63,10146.419,28.1146481334942
2019-03-27,L102,2912.6,8084.171,36.0284313629684
2019-03-26,L102,2650.9,7909.392,33.5158505230238
2019-03-21,L102,2719.84,7945.276,34.2321651255413
2019-03-20,L102,2685.82,11186.929,24.0085549841248
2019-03-19,L102,1339.62,4919.847,27.2288955327269
2019-03-15,L102,2186.98,6724.212,32.5239596847928
2019-03-14,L102,3374.39,9582.127,35.2154589476846
2019-03-13,L102,1772.55,4193.986,42.2640895796982
2019-03-11,L102,2500.75,9921.534,25.2052757164366
2019-02-18,L101,2218.19,7071.415,31.3684036363302
2019-02-04,L101,1659.24,4127.446,40.2001625218113
2019-02-01,L101,1108.77,3608.494,30.7266687986734
2019-01-31,L107,3693.79,9627.811,38.3658341444384
2019-01-30,L107,3315.12,9871.44,33.5829423062897
2019-01-29,L107,3736.51,8890.097,42.0300250942144
2019-01-28,L101,1332.93,4352.025,30.627811191342
2019-07-16,L146,2411.1,6300.715,38.2670855609244
2019-07-15,L146,2739.23,7629.027,35.905365127165
2019-07-13,L146,1534.85,4045.861,37.9363008269439
2019-07-01,L146,2285.67,6535.469,34.9733125503311
2019-06-29,L146,1529.98,4468.39,34.240073046444
2019-06-26,L146,1694.31,4548.673,37.2484458654205
2019-06-15,L146,1582.41,4449.204,35.5661372236472
2019-06-08,L146,1571.7,4749.433,33.092371236735
2019-06-07,L146,2690.82,6753.137,39.845482181096
2019-06-05,L146,2481.14,6705.841,36.9996843050708
2019-05-23,L146,3047.98,8233.571,37.0189313968386
2019-05-18,L146,1675.55,4896.622,34.2184877656474
2019-05-09,L146,2575.16,7707.083,33.4129008342067
2019-05-06,L146,3089.7,8508.397,36.3135382610849
2019-04-29,L102,3096.74,8275.704,37.4196563821036
2019-04-27,L146,1595.01,4823.641,33.0665155221958
2019-04-24,L102,2571.35,7094.594,36.2437935137656
