Mes,Year,Linea,LTS,KM,Consumo
2,2023,L440,254501.36,740776.190000002,34.3560394401985
1,2019,L125,31935.29,67436.257,47.3562611875093
7,2019,L146,66626.14,185253.86,35.9647782777643
6,2019,L146,66032.7200000001,181975.375,36.286623945685
6,2019,L107,128055.47,313978.043999999,40.7848486373781
6,2019,L102,67490.27,177477.277,38.0275554937661
5,2019,L107,130221.57,338178.399000001,38.5067675478585
4,2019,L107,126260.67,312325.002,40.4260527308025
7,2019,L107,124609.89,291748.378,42.7114251171603
5,2019,L103,96287.8300000001,233667.959,41.2071173181258
1,2019,L129,33120.65,74190.726,44.6425743293036
4,2019,L102,64162.61,171206.756,37.4766811188223
3,2019,L102,57132.3700000001,175851.694,32.4889506040243
3,2019,L107,121882.88,327221.972,37.2477677018583
3,2019,L146,62301.19,192089.527,32.4334131969621
3,2019,L125,31789.89,80328.147,39.5750321490672
5,2019,L146,68704.01,185920.361,36.9534620256035
4,2019,L146,65240.6899999999,187613.596,34.7739670210254
2,2019,L146,46128.7,151906.728,30.3664627678637
1,2019,L146,54444.5,154809.621,35.1686798587279
1,2019,L144,19080.46,43432.321,43.931476745164
5,2019,L102,71302.06,184566.291,38.632222392116
2,2019,L101,41117.6,100480.98,40.9207792360306
1,2019,L107,96216.64,267032.812,36.0317667628052
1,2019,L101,35480.93,95829.7580000001,37.0249604512201
2,2019,L107,92951.75,262610.421,35.3953013920952
4,2019,L142,150167.8,344486.646,43.5917623349615
2,2019,L102,41508.73,127121.255,32.6528635986169
7,2019,L102,57702.8199999999,154655.294,37.3106012135607
7,2020,L440,235571.739999999,839943.579000001,28.0461385609329
6,2020,L440,236027.61,814633.482000001,28.9734727598638
7,2019,203M,441096.12,937085.969,47.0710409281563
6,2019,203M,358072,838830.101,42.6870709066269
5,2019,203M,387372.02,870491.263000001,44.500391499047
4,2019,203M,374443.620000001,831995.824999999,45.0054686272015
3,2019,203M,371101.94,834884.681999997,44.4494848211865
6,2023,L107,85538.69,180066.465,47.5039536095741
5,2023,L107,95123.98,204792.541,46.4489475717771
5,2023,L145/133,108011.41,233568.081,46.2440799006266
5,2023,L146,66861.9200000001,156217.561,42.8005145977155
5,2023,L128,54194.28,114283.874,47.4207585927653
4,2023,L102/144,46946.6200000001,103499.579,45.3592376448218
4,2023,L143/136/137,80982.63,171988.997,47.0859365497665
4,2023,L122,105313.27,233679.283,45.0674397182228
4,2023,L130,28647.4,61249.085,46.7719640219932
4,2023,L107,93902.09,198609.76,47.2796956201951
3,2023,L143/136/137,91126.01,182665.387,49.8868513058798
3,2023,L142,157957.12,333471.254,47.3675371131091
3,2023,L146,71468.1000000001,154608.752,46.2251321969148
3,2023,L140,56579.32,118805.496,47.6234870481076
2,2023,L143/136/137,70341.33,139451.289,50.4415057791255
2,2023,L101,34979.74,71262.502,49.0857590153094
2,2023,L102/144,38647.99,77464.857,49.8909976687881
2,2023,L133/125,57104.31,128613.273,44.4000130530851
1,2023,L133/125,65078.64,152792.74,42.5927566977332
1,2023,L107,94140.61,186510.251,50.4747645211201
1,2023,L102/144,46491.56,94598.371,49.1462585544945
12,2022,L102/144,47148.1,91337.255,51.6197908509512
11,2022,L107,100513.97,204148.397,49.2357380597018
11,2022,L133/125,76133.46,174795.97,43.5556151552007
10,2022,L133/125,65921.6400000001,155238.021,42.464880430291
9,2022,L133/125,74889.27,173755.481,43.1003785141028
9,2022,L103,103934.59,216401.584,48.0285717317116
8,2022,L133/125,75535.9400000001,172910.906,43.6848905296929
8,2022,L110,117206.3,248098.516,47.2418383993881
7,2022,L133/125,71194.76,167949.694,42.3905267728562
6,2022,L133/125,71197.91,166272.905,42.8199110372192
6,2022,L130/146,71521.1,152231.625,46.9817621666983
6,2022,L103,98341.68,197554.32,49.7795644256223
5,2022,L103,95554.2899999999,201361.479,47.4541061550307
5,2022,L133/125,67646.96,159646.452,42.3729805157211
5,2022,L143/136/137,79232.5,167382.788,47.3361096124172
4,2022,L145/133,101862.76,224972.317,45.2779085704132
4,2022,L133/125,66712.14,155392.753,42.9313070989868
4,2022,L102/144,44845.47,99620.2509999999,45.0164194025169
3,2022,L133/125,71237.4,164567.579,43.2876271455631
3,2022,L128,54849.4,112323,48.8318510011307
3,2022,L145/133,114706.66,245577.581,46.7089298350895
3,2022,L143/136/137,89179.55,183958.063,48.4781958157496
2,2022,L143/136/137,63265.5000000001,131991.294,47.9315703958476
2,2022,L133/125,50394.96,111517.581,45.1901480897439
1,2022,L143/136/137,68315.14,140082.172,48.7679045981669
12,2021,L143/136/137,83761.1299999999,167025.634,50.1486675991302
12,2021,L133/125,70778.7299999999,154709.059,45.7495704889524
11,2021,L133/125,69221.21,165528.436,41.8183193611519
11,2021,L102/144,50879.2,118835.094,42.8149617149291
10,2021,L133/125,69428.92,164876.322,42.109697231116
10,2021,L103,97760.1900000002,210089.003,46.5327497413085
10,2021,L143/136/137,78370.3599999999,168453.66,46.5233940301445
10,2021,L130/146,69059.13,155319.779,44.4625471685741
9,2021,L130/146,71662.81,161065.461,44.4929717116695
9,2021,L103,94406.8299999998,207278.639,45.545855788835
9,2021,L133/125,68800.38,165428.344,41.5892333420203
9,2021,L143/136/137,75533.4,161228.49,46.8486679990614
8,2021,L143/136/137,76540.5299999999,166467.568,45.9792444375711
8,2021,L130/146,64999.3799999999,141606.68,45.90135154641
8,2021,L102/144,40768.32,89589.999,45.5054363824694
7,2021,L102/144,35898.95,73765.33,48.666426355037
7,2021,L133/125,62603.3500000001,139367.517,44.9196135136712
7,2021,L143/136/137,70897,142491.85,49.7551263458226
6,2021,L143/136/137,71360.54,151479.415,47.1090675917912
6,2021,L145/133,86517.83,184796.499,46.8178945316491
6,2021,L102/144,32200.87,71181.468,45.2377155244958
5,2021,L143/136/137,58166.54,137178.398,42.4021134872854
4,2021,L143/136/137,78589.93,181885.687,43.2084191429532
4,2021,L102/144,45709.71,105542.653,43.3092296817667
3,2021,L102/144,50690.11,115986.079,43.7036155002706
3,2021,L133/125,80933.1400000001,194809.23,41.5448179739738
3,2021,L130/146,74763.57,160566.343,46.5624168820984
2,2021,L133/125,75607.2500000001,201056.95,37.6048925441275
1,2021,L133/125,18821.31,48374.511,38.9074940726533
1,2021,L143,63235.8400000001,144589.55,43.7347235675054
1,2021,L103,83705.04,188150.714,44.4882925078881
1,2021,L101,22947.25,57246.253,40.0851563158204
12,2020,L101,24866.82,71838.961,34.6146710000441
12,2020,L144,12228.09,32026.26,38.1814485987437
12,2020,L129,25249.98,65380.297,38.6201671736059
12,2020,L145,51063.28,129207.587,39.5203417892171
12,2020,L125,19153.37,48705.81,39.3246103493608
11,2020,L125,9823.24,25619.17,38.3433186945557
11,2020,L143,44806.06,118899.699,37.6839137330365
11,2020,L144,7403.18,21091.783,35.0998301091947
11,2020,L128,20117.77,51759.385,38.8678690830658
10,2020,L128,32029.15,82176.7070000001,38.9759472839426
10,2020,L130,14253.37,36893.132,38.6342097493918
9,2020,L130,7256.68,19493.197,37.226730946186
9,2020,L125,6488.29,18897.453,34.3342036622607
8,2020,L125,15313.76,41768.003,36.6638548651704
8,2020,L144,11247.99,30036.533,37.4476974423113
7,2020,L144,1337.61,4006.695,33.3843729058488
6,2020,L144,11246.47,30849.959,36.4553807024509
6,2020,L143,53364.55,145331.539,36.719180411349
4,2020,L143,52345.98,156433.577,33.4621128045931
3,2020,L144,26531.87,59932.284,44.2697461688595
9,2019,L144,33896.53,77161.5870000001,43.9292805110397
8,2019,L144,33097.78,75796.5420000001,43.6666094872771
7,2019,L144,30761.55,66422.748,46.3117695762904
7,2019,L130,38132.8,87306.325,43.6770188185106
6,2019,L144,30781.03,70716.614,43.527296145712
5,2019,L144,33943.11,72367.915,46.9035345290796
4,2019,L144,31652.1,71883.435,44.0325368424589
4,2019,L130,36808.55,85955.0340000001,42.8230300042695
3,2019,L144,32031.65,72640.609,44.0960647783116
2,2019,L144,22331.46,53578.673,41.6797556744266
2,2019,L125,27813.08,71110.73,39.1123533677688
6,2023,L142,136480.41,293366.907,46.5220877827232
6,2023,L130,27725.01,59067.979,46.93746166599
5,2023,L130,29746.03,65511.981,45.4054808692169
3,2023,L130,32350.67,65364.647,49.4926102790703
3,2023,L126,24591.27,49359.906,49.8203339366165
3,2023,L145/133,106357.14,224165.63,47.4457837269702
2,2023,L107,77990.38,149701.417,52.0972890991406
2,2023,L146,45203.35,94629.951,47.7685442318363
1,2023,L130/146,64539,131719.536,48.9972876916299
12,2022,L130/146,71072.74,140735.082,50.5010825943172
12,2022,L142,147838.6,295596.846,50.0135918229655
12,2022,L103,107562.75,205969.548,52.2226470099356
11,2022,L145/133,112467.89,235860.08,47.6841566406659
11,2022,L143/136/137,85683.5,177852.743,48.1766536487997
11,2022,L110,121093.45,248030.763,48.8219479452232
11,2022,L102/144,51683.57,104892.302,49.2729866868591
11,2022,L128,53015.97,108890.382,48.6874680997997
10,2022,L143/136/137,73814.9600000001,157197.909,46.9567060208162
10,2022,L145/133,96762.49,204762.275,47.2560143219741
10,2022,L122,98839.4900000002,212520.972,46.5081112089024
10,2022,L107,87551.84,178633.905,49.0118827106198
9,2022,L107,101060.41,218730.883,46.2030823512015
9,2022,L143/136/137,82740.7000000001,179386.513,46.1242590740364
9,2022,L142,146401.83,331158.303,44.2090168580191
9,2022,L145/133,111501.37,249211.969,44.7415790049795
8,2022,L122,109611.8,251841.217,43.524170231436
8,2022,L102/144,48935.97,101977.7,47.9869324371897
8,2022,L126,24940.95,58862.722,42.3713840484645
8,2022,L128,52043.45,109867.905,47.3691111157531
8,2022,L145/133,110609.76,235827.438,46.9028374891645
7,2022,L145/133,104363.76,229148.229,45.5442140903477
7,2022,L128,50190.78,105817.023,47.4316689102093
6,2022,L145/133,105364.36,224731.808,46.8844890884338
5,2022,L145/133,103199.39,223413.073,46.1921894785449
4,2022,L101,38530.56,84352.562,45.6779961229867
4,2022,L130/146,69843.78,155568.446,44.8958524661228
3,2022,L130/146,76207.85,163337.547,46.656663700233
2,2022,L102/144,32270.15,66254.158,48.7066034406475
12,2021,L102/144,50395.65,98706.066,51.0562846259115
11,2021,L145/133,106558.28,242988.884,43.8531500889563
11,2021,L143/136/137,79709.4599999999,171603.334,46.4498317963915
9,2021,L102/144,52417.03,119706.223,43.7880577018957
8,2021,L103,91841.0999999999,195418.376,46.9971667352306
7,2021,L130/146,60448,121040.636,49.9402531229265
5,2021,L145/133,66567.6499999999,165654.979,40.1845150697221
4,2021,L128,50966.68,114476.484,44.5215281070302
4,2021,L130/146,68670.71,153987.802,44.5949023936325
3,2021,L143/136/137,86438.6899999999,188968.122,45.7424718440076
3,2021,L103,98106.93,212500.945,46.1677617480713
2,2021,L130/146,63772.74,139077.213,45.8541975528371
2,2021,L102/144,33021.64,77311.162,42.7126421925983
2,2021,L125,14.57,323.771,4.50009420238378
10,2020,L125,14036.1,37108.542,37.8244448407593
7,2020,L125,1664.38,6513.385,25.5532261642756
6,2020,L125,13799.13,36846.223,37.4505956824937
5,2020,L125,3944.3,10739.953,36.7254866012915
3,2020,L125,28342.67,63953.824,44.3173968768467
2,2020,L125,28794.53,58100.947,49.5594848049551
1,2020,L125,32250.16,65121.596,49.5229877351286
12,2019,L125,34697.67,69475.995,49.9419547715725
11,2019,L125,35797.61,77513.753,46.1822691000395
10,2019,L125,35396.97,84783.93,41.7496216558964
9,2019,L125,34156.63,77208.565,44.2394312081827
8,2019,L125,35652.5,76741.242,46.458070094826
