Semana,Linea,LTS,KM,Consumo
2023-01-29,L440,67273.34,198607.49,33.8725090378012
2019-01-13,L125,8161.77,18028.709,45.2709619973344
2019-01-06,L125,7884.75,13956.509,56.4951450251635
2018-12-30,L125,3038.62,7620.021,39.8767929904655
2019-07-07,L146,12447.81,33971.717,36.6416863769353
2019-06-30,L146,16654.06,48046.661,34.662263003042
2019-06-23,L146,15879.78,44616.094,35.5920444313211
2019-06-16,L146,13567.82,35932.094,37.7596140096929
2019-06-16,L107,26499.67,63701.139,41.5999939969676
2019-06-09,L102,17689.96,47143.768,37.5234325775572
2019-06-02,L146,16951.75,45385.291,37.3507575394856
2019-06-02,L107,29503.13,74642.479,39.5259246413828
2019-05-26,L107,27538.68,67068.738,41.0603819621595
2019-05-19,L107,31584.57,85936.566,36.7533536306303
2019-05-12,L107,29908.66,77536.348,38.573728027531
2019-05-05,L107,30507.25,79581.345,38.3346750422477
2019-04-28,L107,26539.94,69835.528,38.0034930071697
2019-04-14,L107,27390.28,65397.555,41.8827278787411
2019-04-07,L107,29568.03,71208.997,41.5228850927363
2019-06-30,L107,33917.29,81255.007,41.7417846016554
2019-06-09,L146,16043.75,46909.537,34.2014673903092
2019-05-19,L103,21833.49,51421.629,42.4597400444081
2019-01-06,L129,7368.56,18304.08,40.2563799983392
2019-07-14,L107,28726.82,69285.837,41.4613162571739
2019-06-23,L107,32257.55,75175.071,42.9099029384355
2019-06-09,L107,33357.19,85287.989,39.1112399191403
2019-04-21,L107,31734.93,80953.708,39.2013297278489
2019-04-07,L102,15144.57,40403.49,37.4833213665453
2019-03-31,L102,14616.86,37795.147,38.6739069965782
2019-03-24,L102,15866.76,47249.083,33.5810961664589
2019-03-24,L107,30228.08,80945.777,37.3436158380443
2019-03-17,L107,29127.62,76796.372,37.9283802625468
2019-03-17,L146,15609.43,46709.559,33.4180633133359
2019-03-10,L125,7690.07,20506.305,37.5010027403767
2019-07-07,L107,26146.35,62324.849,41.9517261886988
2019-05-26,L146,13876.16,36902.858,37.6018572870426
2019-05-19,L146,16698.13,43780.454,38.1406049375367
2019-05-12,L146,16528.61,46444.818,35.5876300344206
2019-05-05,L146,16481.73,44970.195,36.6503414094602
2019-04-28,L146,13122.23,38205.506,34.3464368722142
2019-04-21,L146,16266.06,46315.802,35.1198927743926
2019-04-21,L102,15840.02,44007.744,35.9937105614867
2019-04-14,L102,13074.86,34732.787,37.644142982249
2019-04-07,L146,15460.86,43886.185,35.2294463508277
2019-03-31,L146,14729.33,43748.064,33.6685298805451
2019-03-31,L107,28361.66,69206.371,40.981284801077
2019-03-24,L146,15150.97,48062.269,31.5236261525647
2019-03-10,L146,14428.2,43764.172,32.9680634652473
2019-03-10,L107,28449.97,78367.6719999999,36.3031965527827
2019-03-03,L146,12432.11,38326.19,32.4376359872974
2019-02-24,L146,11841.81,38719.773,30.5833662816153
2019-02-17,L146,12009.84,39995.943,30.0276455539503
2019-02-10,L146,11081.08,39202.707,28.2661092765865
2019-02-03,L146,11776.74,37796.248,31.1584895939935
2019-01-27,L146,13208.94,35698.186,37.0017120757901
2019-01-27,L144,5066.53,9717.712,52.1370668321926
2019-01-13,L144,4040.35,9795.827,41.2456242847082
2019-01-06,L144,3949.09,10926.635,36.1418680133454
2019-06-23,L102,16940.15,44589.524,37.9913228048813
2019-06-16,L102,12740.04,34083.852,37.3785216530104
