Fecha,Cantidad
2019-02-01T00:00:00Z,375
2019-03-08T00:00:00Z,230
2019-04-24T00:00:00Z,1
2019-05-09T00:00:00Z,1
2019-05-13T00:00:00Z,1
2019-07-04T00:00:00Z,672
2019-07-29T00:00:00Z,1
2019-08-05T00:00:00Z,154
2019-08-19T00:00:00Z,1
2019-09-05T00:00:00Z,194
2019-09-10T00:00:00Z,12
2019-10-04T00:00:00Z,127
2019-10-21T00:00:00Z,1
2019-11-07T00:00:00Z,193
2019-12-02T00:00:00Z,407
2019-12-17T00:00:00Z,1
2020-01-02T00:00:00Z,305
2020-01-24T00:00:00Z,132
2020-02-12T00:00:00Z,1
2020-02-18T00:00:00Z,161
2020-07-16T00:00:00Z,1
2020-08-19T00:00:00Z,664
2020-08-31T00:00:00Z,54
2020-09-16T00:00:00Z,52
2020-09-21T00:00:00Z,1
2020-09-30T00:00:00Z,40
2020-10-07T00:00:00Z,1
2020-10-14T00:00:00Z,32
2020-10-28T00:00:00Z,1
2020-11-04T00:00:00Z,61
2020-11-12T00:00:00Z,53
2020-12-16T00:00:00Z,72
2020-12-21T00:00:00Z,46
2021-01-20T00:00:00Z,109
2021-01-21T00:00:00Z,1
2021-01-25T00:00:00Z,1
2021-02-05T00:00:00Z,1
2021-02-13T00:00:00Z,4
2021-02-17T00:00:00Z,3
2021-02-18T00:00:00Z,1
2021-02-19T00:00:00Z,3
2021-02-24T00:00:00Z,60
2021-03-22T00:00:00Z,62
2021-04-05T00:00:00Z,2
2021-04-21T00:00:00Z,70
2021-05-18T00:00:00Z,2
2021-05-27T00:00:00Z,67
2021-06-07T00:00:00Z,10
2021-07-01T00:00:00Z,4
2021-07-20T00:00:00Z,4
2021-07-21T00:00:00Z,86
2021-08-20T00:00:00Z,54
2021-08-23T00:00:00Z,48
2021-08-27T00:00:00Z,22
2021-09-23T00:00:00Z,25
2021-09-28T00:00:00Z,1
2021-09-29T00:00:00Z,47
2021-10-13T00:00:00Z,1
2021-10-20T00:00:00Z,1
2021-11-08T00:00:00Z,1
2021-11-11T00:00:00Z,8
2021-11-19T00:00:00Z,75
2021-12-01T00:00:00Z,4
2021-12-09T00:00:00Z,117
2021-12-29T00:00:00Z,113
2022-02-04T00:00:00Z,1
2022-02-14T00:00:00Z,112
2022-02-16T00:00:00Z,4
2022-02-17T00:00:00Z,33
2022-02-18T00:00:00Z,6
2022-03-01T00:00:00Z,1
2022-03-02T00:00:00Z,2
2022-03-07T00:00:00Z,6
2022-03-11T00:00:00Z,4
2022-03-29T00:00:00Z,1
2022-03-30T00:00:00Z,2
2022-03-31T00:00:00Z,163
2022-04-04T00:00:00Z,4
2022-04-18T00:00:00Z,37
2022-04-20T00:00:00Z,3
2022-04-21T00:00:00Z,8
2022-04-22T00:00:00Z,4
2022-04-25T00:00:00Z,1
2022-05-02T00:00:00Z,1
2022-05-04T00:00:00Z,37
2022-05-12T00:00:00Z,1
2022-05-16T00:00:00Z,1
2022-05-20T00:00:00Z,1
2022-05-27T00:00:00Z,111
2022-05-31T00:00:00Z,1
2022-06-06T00:00:00Z,25
2022-06-22T00:00:00Z,1
2022-06-24T00:00:00Z,37
2022-07-06T00:00:00Z,71
2022-07-11T00:00:00Z,1
2022-07-12T00:00:00Z,2
2022-07-22T00:00:00Z,47
2022-07-26T00:00:00Z,10
2022-08-09T00:00:00Z,1
2022-08-10T00:00:00Z,1
2022-08-18T00:00:00Z,68
2022-08-29T00:00:00Z,2
2022-09-05T00:00:00Z,48
2022-09-15T00:00:00Z,1
2022-09-16T00:00:00Z,1
2022-09-29T00:00:00Z,68
2022-10-21T00:00:00Z,2
2022-10-27T00:00:00Z,68
2022-11-09T00:00:00Z,32
2022-11-23T00:00:00Z,1
2022-11-25T00:00:00Z,1
2022-12-02T00:00:00Z,2
2022-12-07T00:00:00Z,1
2022-12-14T00:00:00Z,8
2022-12-16T00:00:00Z,78
2022-12-23T00:00:00Z,1
2022-12-28T00:00:00Z,6
2023-01-17T00:00:00Z,2
2023-01-18T00:00:00Z,1
2023-01-23T00:00:00Z,109
2023-02-01T00:00:00Z,1
2023-02-16T00:00:00Z,13
2023-02-24T00:00:00Z,107
2023-03-03T00:00:00Z,2
2023-03-22T00:00:00Z,1
2023-03-29T00:00:00Z,134
2023-03-30T00:00:00Z,1
2023-04-14T00:00:00Z,1
2023-04-28T00:00:00Z,19
2023-04-29T00:00:00Z,92
2023-05-04T00:00:00Z,2
2023-05-05T00:00:00Z,2
2023-05-15T00:00:00Z,1
2023-05-19T00:00:00Z,1
2023-06-03T00:00:00Z,35
2023-06-24T00:00:00Z,1
2023-07-06T00:00:00Z,1
2023-07-13T00:00:00Z,1
2023-07-18T00:00:00Z,249
2023-07-27T00:00:00Z,2
2023-07-28T00:00:00Z,1
2023-08-02T00:00:00Z,1
2023-08-10T00:00:00Z,1
2023-08-11T00:00:00Z,1
2023-08-12T00:00:00Z,1
2023-08-25T00:00:00Z,1
2023-08-30T00:00:00Z,132
2023-09-05T00:00:00Z,1
2023-09-11T00:00:00Z,11
2023-09-20T00:00:00Z,116
2023-09-25T00:00:00Z,1
2023-10-16T00:00:00Z,1
2023-10-25T00:00:00Z,1
2023-11-08T00:00:00Z,55
2023-11-10T00:00:00Z,1
2023-11-15T00:00:00Z,56
2021-04-12T00:00:00Z,2
2022-08-24T00:00:00Z,1
2023-04-19T00:00:00Z,1
2023-07-14T00:00:00Z,1
2023-08-07T00:00:00Z,1
