Semana,Cantidad
2019-01-27T00:00:00Z,375
2019-03-03T00:00:00Z,230
2019-04-21T00:00:00Z,1
2019-05-05T00:00:00Z,1
2019-05-12T00:00:00Z,1
2019-06-30T00:00:00Z,672
2019-07-28T00:00:00Z,1
2019-08-04T00:00:00Z,154
2019-08-18T00:00:00Z,1
2019-09-01T00:00:00Z,194
2019-09-08T00:00:00Z,12
2019-09-29T00:00:00Z,127
2019-10-20T00:00:00Z,1
2019-11-03T00:00:00Z,193
2019-12-01T00:00:00Z,407
2019-12-15T00:00:00Z,1
2019-12-29T00:00:00Z,305
2020-01-19T00:00:00Z,132
2020-02-09T00:00:00Z,1
2020-02-16T00:00:00Z,161
2020-07-12T00:00:00Z,1
2020-08-16T00:00:00Z,664
2020-08-30T00:00:00Z,54
2020-09-13T00:00:00Z,52
2020-09-20T00:00:00Z,1
2020-09-27T00:00:00Z,40
2020-10-04T00:00:00Z,1
2020-10-11T00:00:00Z,32
2020-10-25T00:00:00Z,1
2020-11-01T00:00:00Z,61
2020-11-08T00:00:00Z,53
2020-12-13T00:00:00Z,72
2020-12-20T00:00:00Z,46
2021-01-17T00:00:00Z,110
2021-01-24T00:00:00Z,1
2021-01-31T00:00:00Z,1
2021-02-07T00:00:00Z,4
2021-02-14T00:00:00Z,7
2021-02-21T00:00:00Z,60
2021-03-21T00:00:00Z,62
2021-04-04T00:00:00Z,2
2021-04-18T00:00:00Z,70
2021-05-16T00:00:00Z,2
2021-05-23T00:00:00Z,67
2021-06-06T00:00:00Z,10
2021-06-27T00:00:00Z,4
2021-07-18T00:00:00Z,90
2021-08-15T00:00:00Z,54
2021-08-22T00:00:00Z,70
2021-09-19T00:00:00Z,25
2021-09-26T00:00:00Z,48
2021-10-10T00:00:00Z,1
2021-10-17T00:00:00Z,1
2021-11-07T00:00:00Z,9
2021-11-14T00:00:00Z,75
2021-11-28T00:00:00Z,4
2021-12-05T00:00:00Z,117
2021-12-26T00:00:00Z,113
2022-01-30T00:00:00Z,1
2022-02-13T00:00:00Z,155
2022-02-27T00:00:00Z,3
2022-03-06T00:00:00Z,10
2022-03-27T00:00:00Z,166
2022-04-03T00:00:00Z,4
2022-04-17T00:00:00Z,52
2022-04-24T00:00:00Z,1
2022-05-01T00:00:00Z,38
2022-05-08T00:00:00Z,1
2022-05-15T00:00:00Z,2
2022-05-22T00:00:00Z,111
2022-05-29T00:00:00Z,1
2022-06-05T00:00:00Z,25
2022-06-19T00:00:00Z,38
2022-07-03T00:00:00Z,71
2022-07-10T00:00:00Z,3
2022-07-17T00:00:00Z,47
2022-07-24T00:00:00Z,10
2022-08-07T00:00:00Z,2
2022-08-14T00:00:00Z,68
2022-08-28T00:00:00Z,2
2022-09-04T00:00:00Z,48
2022-09-11T00:00:00Z,2
2022-09-25T00:00:00Z,68
2022-10-16T00:00:00Z,2
2022-10-23T00:00:00Z,68
2022-11-06T00:00:00Z,32
2022-11-20T00:00:00Z,2
2022-11-27T00:00:00Z,2
2022-12-04T00:00:00Z,1
2022-12-11T00:00:00Z,86
2022-12-18T00:00:00Z,1
2022-12-25T00:00:00Z,6
2023-01-15T00:00:00Z,3
2023-01-22T00:00:00Z,109
2023-01-29T00:00:00Z,1
2023-02-12T00:00:00Z,13
2023-02-19T00:00:00Z,107
2023-02-26T00:00:00Z,2
2023-03-19T00:00:00Z,1
2023-03-26T00:00:00Z,135
2023-04-09T00:00:00Z,1
2023-04-23T00:00:00Z,111
2023-04-30T00:00:00Z,4
2023-05-14T00:00:00Z,2
2023-05-28T00:00:00Z,35
2023-06-18T00:00:00Z,1
2023-07-02T00:00:00Z,1
2023-07-09T00:00:00Z,2
2023-07-16T00:00:00Z,249
2023-07-23T00:00:00Z,3
2023-07-30T00:00:00Z,1
2023-08-06T00:00:00Z,4
2023-08-20T00:00:00Z,1
2023-08-27T00:00:00Z,132
2023-09-03T00:00:00Z,1
2023-09-10T00:00:00Z,11
2023-09-17T00:00:00Z,116
2023-09-24T00:00:00Z,1
2023-10-15T00:00:00Z,1
2023-10-22T00:00:00Z,1
2023-11-05T00:00:00Z,56
2023-11-12T00:00:00Z,56
2021-04-11T00:00:00Z,2
2022-08-21T00:00:00Z,1
2023-04-16T00:00:00Z,1
