Fecha,Linea,KM
2021-11-20T00:00:00Z,LINA,11217.607
2023-09-11T00:00:00Z,N339,5820.995
2020-01-26T00:00:00Z,N339,10386.713
2023-08-29T00:00:00Z,N339,6612.336
2019-12-04T00:00:00Z,N339,10473.407
2023-08-02T00:00:00Z,LMAV,7491.685
2023-07-16T00:00:00Z,N339,4889.646
2023-02-28T00:00:00Z,LINA,19265.224
2019-10-07T00:00:00Z,N339,12768.271
2019-09-09T00:00:00Z,N339,12133.017
2019-07-10T00:00:00Z,203I,34302.21
2019-04-24T00:00:00Z,203I,35262.39
2019-07-16T00:00:00Z,203I,38016.82
2019-04-04T00:00:00Z,203I,35976.89
2019-06-20T00:00:00Z,N339,11920.499
2023-08-17T00:00:00Z,LINA,23504.238
2023-03-29T00:00:00Z,LINA,23419.489
2022-11-13T00:00:00Z,L339,6912.039
2021-09-05T00:00:00Z,L339,6925.16
2022-01-01T00:00:00Z,L339,4491.151
2019-12-13T00:00:00Z,203M,36067.25
2021-09-08T00:00:00Z,L339,9738.147
2023-07-20T00:00:00Z,N339,4319.768
2023-09-13T00:00:00Z,N339,5622.038
2022-12-14T00:00:00Z,LINA,23165.601
2019-11-22T00:00:00Z,N339,14202.834
2019-04-05T00:00:00Z,203I,34074.66
2023-06-25T00:00:00Z,LINA,18941.955
2019-10-18T00:00:00Z,N339,11796.809
2023-03-09T00:00:00Z,LINA,24151.803
2019-03-31T00:00:00Z,N339,11044.998
2019-03-30T00:00:00Z,N339,11663.461
2019-02-26T00:00:00Z,L339,12523.324
2019-06-23T00:00:00Z,203I,24351.52
2023-07-12T00:00:00Z,LINA,23670.266
2019-09-05T00:00:00Z,L339,15506.532
2019-09-05T00:00:00Z,N339,12111.529
2019-04-12T00:00:00Z,203I,34034.82
2019-05-30T00:00:00Z,203I,33321.76
2019-10-02T00:00:00Z,L339,15044.637
2020-03-07T00:00:00Z,N339,10526.06
2019-12-06T00:00:00Z,N339,12276.439
2019-11-03T00:00:00Z,N339,12838.307
2019-08-15T00:00:00Z,N339,12568.826
2019-11-23T00:00:00Z,N339,12690.817
2020-02-29T00:00:00Z,N339,11351.304
2019-09-25T00:00:00Z,N339,10891.248
2019-09-15T00:00:00Z,N339,11896.159
2019-08-09T00:00:00Z,N339,12940.585
2019-10-10T00:00:00Z,N339,11971.751
2020-02-25T00:00:00Z,N339,9610.236
2019-11-20T00:00:00Z,N339,12099.376
2019-07-03T00:00:00Z,N339,12205.472
2019-01-21T00:00:00Z,N339,11135.495
2019-12-25T00:00:00Z,N339,9823.956
2023-03-18T00:00:00Z,L101,9340.334
2019-04-22T00:00:00Z,203I,33638.033
2023-05-09T00:00:00Z,L339,10020.496
2023-02-27T00:00:00Z,N339,5328.968
2019-01-02T00:00:00Z,L339,12403.278
2023-06-10T00:00:00Z,L359,4282.486
2019-12-02T00:00:00Z,N339,12289.54
2019-04-08T00:00:00Z,N339,12013.543
2019-03-25T00:00:00Z,L146,7667.962
2020-03-09T00:00:00Z,N339,11307.249
2020-03-15T00:00:00Z,N339,10018.891
2019-02-07T00:00:00Z,N339,10797.326
2019-07-18T00:00:00Z,N339,12287.373
2019-03-14T00:00:00Z,N339,11774.984
2019-07-31T00:00:00Z,N339,12429.686
2019-01-14T00:00:00Z,N339,11704.875
2019-03-18T00:00:00Z,N339,12542.572
2019-09-02T00:00:00Z,N339,12305.697
2019-05-08T00:00:00Z,203I,32729.72
2023-05-15T00:00:00Z,LINA,23479.759
2023-03-17T00:00:00Z,LINA,23337.831
2019-03-22T00:00:00Z,N339,13917.067
2019-09-07T00:00:00Z,N339,11804.207
2019-02-01T00:00:00Z,N339,10689.863
2019-11-25T00:00:00Z,N339,13616.925
2022-01-25T00:00:00Z,LINA,18324.569
2019-06-10T00:00:00Z,N339,12582.177
2020-03-17T00:00:00Z,203M,37666.11
2019-03-29T00:00:00Z,N339,12985.553
2019-05-06T00:00:00Z,N339,13157.199
2023-09-25T00:00:00Z,L339,12179.917
2019-03-13T00:00:00Z,N339,13188.886
2019-12-01T00:00:00Z,N339,12361.551
2019-01-02T00:00:00Z,L107,9931.255
2019-04-05T00:00:00Z,N339,11631.095
2023-05-09T00:00:00Z,L110,9940.941
2019-06-13T00:00:00Z,203I,34503.92
2019-03-27T00:00:00Z,N339,13141.37
2019-03-21T00:00:00Z,N339,11157.511
2019-02-05T00:00:00Z,N339,11090.742
2019-09-17T00:00:00Z,N339,10897.847
2020-03-02T00:00:00Z,N339,11419.987
2019-04-03T00:00:00Z,203I,34993.75
2019-05-03T00:00:00Z,N339,12669.966
2019-08-20T00:00:00Z,N339,12405.453
2019-02-13T00:00:00Z,N339,10630.978
2019-04-26T00:00:00Z,203I,34092.71
2019-05-04T00:00:00Z,N339,10705.973
2019-04-15T00:00:00Z,N339,12519.634
2019-04-04T00:00:00Z,N339,12748.131
2022-11-25T00:00:00Z,LINA,22788.782
2022-07-15T00:00:00Z,LINA,19470.504
2019-07-11T00:00:00Z,N339,12074.862
2019-04-03T00:00:00Z,N339,11332.072
2019-05-21T00:00:00Z,N339,12013.99
2019-03-23T00:00:00Z,N339,12515.041
2019-04-26T00:00:00Z,N339,12459.002
2019-04-12T00:00:00Z,N339,11921.801
2019-08-07T00:00:00Z,N339,11873.447
2019-04-22T00:00:00Z,N339,11373.055
2022-10-23T00:00:00Z,L339,6613.741
2019-12-21T00:00:00Z,N339,10805.527
2019-04-29T00:00:00Z,N339,11425.165
2019-11-14T00:00:00Z,N339,14563.593
2019-04-16T00:00:00Z,N339,11161.801
2019-03-26T00:00:00Z,N339,9559.26
2019-12-20T00:00:00Z,N339,11012.99
2019-01-17T00:00:00Z,N339,9954.111
2022-08-01T00:00:00Z,L339,13255.161
2019-06-12T00:00:00Z,N339,11118.116
2019-03-28T00:00:00Z,N339,11456.854
2019-07-30T00:00:00Z,N339,12044.881
2019-03-07T00:00:00Z,N339,12124.008
2019-06-14T00:00:00Z,N339,13471.47
2019-03-15T00:00:00Z,203I,32189.52
2019-07-14T00:00:00Z,N339,11448.43
2019-08-06T00:00:00Z,203I,32885.13
2019-07-17T00:00:00Z,N339,12050
2019-04-01T00:00:00Z,N339,11573.975
2019-06-16T00:00:00Z,N339,12504.18
2019-11-17T00:00:00Z,N339,13181.212
2019-09-06T00:00:00Z,N339,12563.119
2019-03-11T00:00:00Z,N339,12757.16
2023-02-05T00:00:00Z,N339,4535.563
2019-10-25T00:00:00Z,N339,12059.331
2019-05-14T00:00:00Z,N339,11330.515
2019-06-25T00:00:00Z,203I,34815.29
2019-09-08T00:00:00Z,LINA,24382.528
2019-12-15T00:00:00Z,N339,10040.104
2019-06-27T00:00:00Z,N339,11795.865
2019-08-21T00:00:00Z,N339,12278.491
2019-11-15T00:00:00Z,N339,12918.576
2019-06-07T00:00:00Z,203I,32484.97
2019-06-12T00:00:00Z,203I,33525.21
2019-08-28T00:00:00Z,N339,12227.871
2023-05-08T00:00:00Z,N339,6310.678
2019-08-05T00:00:00Z,203I,29392.79
2020-02-21T00:00:00Z,N339,11787.689
2019-03-25T00:00:00Z,N339,11984.38
2019-01-24T00:00:00Z,N339,11234.245
2019-11-16T00:00:00Z,N339,12117.504
2019-03-09T00:00:00Z,L339,12993.362
2019-08-03T00:00:00Z,N339,12608.043
2019-05-18T00:00:00Z,N339,11515.13
2019-09-21T00:00:00Z,N339,12206.833
2019-08-17T00:00:00Z,N339,11918.021
2019-08-23T00:00:00Z,N339,12733.923
2019-01-28T00:00:00Z,N339,11633.357
2019-07-22T00:00:00Z,N339,12071.671
2019-02-22T00:00:00Z,L339,13299.751
2019-03-16T00:00:00Z,N339,11658.5
2022-03-03T00:00:00Z,203M,38651.2
2019-05-31T00:00:00Z,203I,32447.31
2019-05-30T00:00:00Z,N339,10791.522
2019-04-13T00:00:00Z,N339,11421.871
2019-02-12T00:00:00Z,N339,10689.095
2019-02-11T00:00:00Z,N339,11397.028
