Mes,Year,Linea,KM
11,2021,LINA,638138.294
9,2023,N339,162245.406
1,2020,N339,296554.316000001
8,2023,N339,173774.264
12,2019,N339,312459.593
8,2023,LMAV,175925.69
7,2023,N339,141899.44
2,2023,LINA,496143.341999999
10,2019,N339,354587.365
9,2019,N339,346782.393
7,2019,203I,956538.460000001
4,2019,203I,920161.947000001
6,2019,N339,358883.824
8,2023,LINA,677677.541
3,2023,LINA,653075.891
11,2022,L339,286414.446
9,2021,L339,272097.986
1,2022,L339,234493.521
12,2019,203M,967433.249999999
12,2022,LINA,597260.671999999
11,2019,N339,386265.529
6,2023,LINA,629149.167999999
3,2019,N339,361220.806
2,2019,L339,318276.494
6,2019,203I,913793.348000002
7,2023,LINA,645967.075999999
9,2019,L339,416336.865
5,2019,203I,888230.400999998
10,2019,L339,417014.592
3,2020,N339,189856.729
8,2019,N339,377267.821
2,2020,N339,286112.103
7,2019,N339,371188.902
1,2019,N339,326257.795
3,2023,L101,252866.558
5,2023,L339,278350.75
2,2023,N339,123648.177
1,2019,L339,342643.768
6,2023,L359,137264.945
4,2019,N339,342228.947
3,2019,L146,184600.315
2,2019,N339,302909.855
5,2023,LINA,649331.633000001
1,2022,LINA,516059.556
3,2020,203M,898742.360000001
5,2019,N339,329870.811
9,2023,L339,288448.873
1,2019,L107,272094.802
5,2023,L110,238114.979
11,2022,LINA,647195.914
7,2022,LINA,611796.603
10,2022,L339,288617.163
8,2022,L339,335104.43
3,2019,203I,901751.362000001
8,2019,203I,988620.610000001
9,2019,LINA,700731.854999999
5,2023,N339,153623.311
3,2019,L339,433408.273999999
3,2022,203M,1080500.23
3,2023,N339,151389.452
6,2023,N339,150326.186
8,2020,203I,840386.890000001
7,2019,LMAV,215075.12
2,2020,203I,840446.129999999
5,2019,LINA,682687.646
6,2019,L339,409157.379999999
12,2020,203I,867829.659999999
1,2022,LMAV,122228.225
7,2019,203M,894766.413
3,2019,L125,72035.24
2,2019,LEXP,431982.726
12,2021,LINA,621827.344
10,2023,N339,177090.93
3,2020,L339,315626.374
3,2019,LEXP,504545.609
1,2020,L339,362776.673
4,2023,LMAV,161900.219
1,2019,359V,353280.039
4,2023,N339,144118.563
6,2019,LEXP,486045.241
8,2021,N339,116193.14
5,2022,LINA,622115.706999999
7,2019,359V,366395.223
9,2023,LINA,663152.507000001
9,2019,359V,313226.493
9,2022,N339,125518.748
5,2022,203M,1092695.65
2,2020,L339,327608.522
1,2023,N339,127750.738
11,2023,N339,70989.842
6,2019,203M,803382.302
3,2019,359V,370693.552
4,2022,N339,144372.155
11,2019,L339,348273.543
5,2019,L339,420815.867000001
11,2022,N339,143657.823
1,2022,N339,118972.009
2,2021,203I,775878.629999999
7,2022,N339,145020.493
8,2021,LINA,545123.958
2,2023,L103,173143.318
3,2021,L339,249071.838
6,2022,N339,144539.853
2,2022,N339,106719.583
5,2022,N339,137778.942
1,2021,203I,845838.08
5,2019,LEXP,487703.515000001
7,2020,203I,806805.629999998
1,2023,LINA,555151.621
10,2022,N339,119961.287
5,2021,LINA,505000.495999999
9,2021,N339,101317.692
4,2022,LMAV,170583.6
8,2022,N339,130699.019
9,2020,203I,832028.47
6,2021,203I,852313.450000003
4,2023,LINA,627314.711999999
11,2019,203M,1072197.63
