Semana,Linea,KM
2021-11-14T00:00:00Z,LINA,144736.109
2023-09-10T00:00:00Z,N339,37454.166
2020-01-26T00:00:00Z,N339,68007.847
2023-08-27T00:00:00Z,N339,36918
2019-12-01T00:00:00Z,N339,82430.639
2023-07-30T00:00:00Z,LMAV,41377.163
2023-07-16T00:00:00Z,N339,28975.942
2023-02-26T00:00:00Z,LINA,127398.776
2019-10-06T00:00:00Z,N339,81389.817
2019-09-08T00:00:00Z,N339,80169.263
2019-07-07T00:00:00Z,203I,205701.09
2019-04-21T00:00:00Z,203I,220474.248
2019-07-14T00:00:00Z,203I,236632.63
2019-03-31T00:00:00Z,203I,211361.252
2019-06-16T00:00:00Z,N339,84655.379
2023-08-13T00:00:00Z,LINA,154812.46
2023-03-26T00:00:00Z,LINA,154235.45
2022-11-13T00:00:00Z,L339,66316.836
2021-09-05T00:00:00Z,L339,60073.754
2021-12-26T00:00:00Z,L339,51720.9999999999
2019-12-08T00:00:00Z,203M,232698.83
2022-12-11T00:00:00Z,LINA,151130.326
2019-11-17T00:00:00Z,N339,92079.8499999999
2023-06-25T00:00:00Z,LINA,153973.657
2019-10-13T00:00:00Z,N339,79619.284
2023-03-05T00:00:00Z,LINA,151936.028
2019-03-31T00:00:00Z,N339,78858.859
2019-03-24T00:00:00Z,N339,81813.207
2019-02-24T00:00:00Z,L339,81095.207
2019-06-23T00:00:00Z,203I,224067.123
2023-07-09T00:00:00Z,LINA,149249.056
2019-09-01T00:00:00Z,L339,97105.044
2019-09-01T00:00:00Z,N339,81790.386
2019-04-07T00:00:00Z,203I,224554.818
2019-05-26T00:00:00Z,203I,177798.05
2019-09-29T00:00:00Z,L339,93391.807
2020-03-01T00:00:00Z,N339,69618.219
2019-11-03T00:00:00Z,N339,91528.449
2019-08-11T00:00:00Z,N339,85150.8560000001
2020-02-23T00:00:00Z,N339,69004.789
2019-09-22T00:00:00Z,N339,79914.4560000001
2019-09-15T00:00:00Z,N339,81073.726
2019-08-04T00:00:00Z,N339,85276.232
2019-06-30T00:00:00Z,N339,85303.949
2019-01-20T00:00:00Z,N339,78342.435
2019-12-22T00:00:00Z,N339,67321.19
2023-03-12T00:00:00Z,L101,78432.5560000001
2023-05-07T00:00:00Z,L339,62155.999
2023-02-26T00:00:00Z,N339,33520.632
2018-12-30T00:00:00Z,L339,47207.198
2023-06-04T00:00:00Z,L359,36111.367
2019-04-07T00:00:00Z,N339,81352.4009999999
2019-03-24T00:00:00Z,L146,43869.422
2020-03-08T00:00:00Z,N339,68429.166
2020-03-15T00:00:00Z,N339,45923.496
2019-02-03T00:00:00Z,N339,76616.7929999999
2019-07-14T00:00:00Z,N339,83151.812
2019-03-10T00:00:00Z,N339,84338.261
2019-07-28T00:00:00Z,N339,85452.4819999999
2019-01-13T00:00:00Z,N339,75591.818
2019-03-17T00:00:00Z,N339,83687.86
2019-05-05T00:00:00Z,203I,214371.68
2023-05-14T00:00:00Z,LINA,152857.483
2023-03-12T00:00:00Z,LINA,153893.538
2019-01-27T00:00:00Z,N339,76097.475
2019-11-24T00:00:00Z,N339,83581.346
2022-01-23T00:00:00Z,LINA,119439.699
2019-06-09T00:00:00Z,N339,85411.488
2020-03-15T00:00:00Z,203M,230295.65
2019-05-05T00:00:00Z,N339,82615.357
2023-09-24T00:00:00Z,L339,68764.748
2018-12-30T00:00:00Z,L107,36706.089
2023-05-07T00:00:00Z,L110,57257.299
2019-06-09T00:00:00Z,203I,223375.285
2019-04-28T00:00:00Z,N339,65666.2979999999
2019-08-18T00:00:00Z,N339,85258.389
2019-02-10T00:00:00Z,N339,74866.583
