Fecha,KM
2023-03-18,66686.513
2023-05-09,105009.277
2023-02-28,80447.065
2023-03-06,103403.154
2023-03-10,102574.717
2023-05-11,104149.399
2023-03-21,102278.464
2023-04-24,103627.203
2023-04-18,103366.435
2023-05-31,103403.519
2023-04-19,102647.244
2023-05-30,103408.078
2023-04-29,64666.666
2023-03-14,103859.91
2023-04-21,103376.866
2023-03-19,47067.084
2023-04-25,104198.307
2023-05-04,105289.29
2023-05-02,104409.082
2023-03-07,104054.786
2023-04-20,103448.34
2023-05-03,104084.301
2023-05-15,103562.48
2023-03-13,103203.57
2023-06-15,102630.644
2023-03-20,105362.695
2023-03-09,104182.904
2023-03-02,94583.4760000001
2023-03-12,46745.07
2021-10-10,34785.451
2023-03-25,64124.635
2023-04-09,44800.759
2023-03-01,94601.333
2023-03-27,104079.268
2023-04-05,104470.725
2023-03-22,104815.319
2023-08-01,99981.619
2023-04-16,46459.767
2021-11-16,75799.55
2023-03-16,100802.021
2023-03-17,100013.407
2023-06-14,102744.616
2021-10-14,72893.092
2021-11-08,75033.8129999999
2021-10-28,74450.921
2023-06-16,102214.953
2021-11-04,75990.666
2021-11-12,76232.5890000001
2023-03-11,64447.889
2023-06-28,101569.9
2023-02-18,59567.839
2023-10-05,101982.822
2023-10-25,102691.406
2023-04-01,64296.675
2023-10-11,101517.207
2023-10-02,102635.949
2023-03-23,103477.458
2023-04-23,46616.322
2023-10-17,102048.735
2023-10-06,101565.756
2021-10-24,34249.437
2023-07-27,88315.6720000001
2023-05-01,45840.844
2023-07-06,102731.504
2023-03-30,101967.684
2023-10-09,102141.443
2023-03-24,45960.511
2023-04-04,105077.911
2023-03-31,102515.592
2023-03-05,43813.972
2023-03-08,99344.765
2023-10-12,100921.656
2023-04-11,105834.661
2023-04-13,105744.84
2023-06-07,103873.214
2023-10-27,102590.551
2023-04-26,103750.823
2023-05-29,102266.295
2023-03-29,103537.678
2023-04-07,46048.0390000001
2021-10-06,73465.563
2023-10-03,102224.868
2023-08-29,100640.646
2022-07-18,82793.296
2023-10-21,61042.359
2022-06-24,92852.2499999999
2023-06-08,103259.818
2023-04-12,103803.948
2022-07-07,93968.4149999999
2023-06-05,103512.439
2022-07-06,95533.605
2022-07-05,95990.503
2021-11-19,74834.677
2023-04-03,104507.426
2022-05-06,81713.172
2023-06-01,104291.072
2022-11-26,60501.529
2023-06-02,103121.54
2021-10-20,76460.49
2023-06-11,45145.553
2022-05-11,84647.937
2022-05-19,93324.335
2022-07-11,82728.0270000001
2023-07-28,87204.381
2022-06-16,93017.746
2023-05-22,102618.408
2022-07-25,93891.264
2022-05-30,93083.78
2022-05-27,93511.611
2023-10-18,103438.338
2022-05-13,82850.734
2022-05-08,35945.006
2022-05-04,79785.418
2022-05-10,83827.496
2023-06-06,103902.764
2022-06-02,91951.548
2022-06-30,93180.839
2022-06-15,94083.2299999999
2022-06-21,93960.192
2022-06-14,92256.516
2022-07-26,94759.4899999999
2022-06-01,91847.528
2022-07-19,83304.5700000001
2023-04-10,105049.52
2022-05-26,93329.665
2023-05-05,102212.497
2023-03-15,100633.086
2023-04-17,102867.02
2023-04-14,103691.651
2023-06-27,102151.928
2023-06-30,102890.487
2023-09-15,101639.134
2023-04-27,103985.7
2023-06-09,101544.827
2023-07-05,103269.018
2023-04-28,101781.335
2023-05-26,45362.691
2023-05-21,46106.437
2023-10-20,101546.738
2023-08-22,101270.714
2021-10-22,73669.111
2023-06-21,101513.827
2022-07-17,41370.715
2023-10-10,101892.962
2022-11-19,60331.841
2023-06-23,102495.953
2023-06-26,101167.874
2022-11-27,42442.737
2021-10-16,50529.502
2023-09-16,60781.626
2023-09-13,101787.834
2023-03-28,103901.01
2021-10-05,73722.635
2023-09-12,102536.173
2022-07-10,43994.338
2022-06-05,43327.9230000001
2022-07-03,43379.334
2022-11-16,97732.6740000001
2023-02-15,81019.3899999999
2023-07-22,62788.446
2023-05-10,103172.066
2021-10-13,73599.6029999999
2023-08-26,62284.58
2023-06-25,46296.35
2023-02-04,57206.863
2023-06-18,46016.325
2022-02-27,32950.27
2022-09-03,58924.08
2022-12-17,60546.458
2022-01-02,33400.909
2022-01-22,46500.899
2023-06-12,100455.233
2022-09-17,59791.304
2022-06-20,43044.878
2023-05-20,63763.409
2023-08-21,45184.992
2023-06-10,62793.108
2023-06-20,45674.5
2022-10-29,57258.851
2021-10-31,33273.873
2023-05-18,102652.154
2022-05-22,41906.474
2022-07-31,41939.287
2021-10-17,34501.242
2022-06-26,43324.076
2023-05-19,102231.083
2022-08-14,41787.747
2023-04-06,62671.408
2023-10-07,61645.232
2023-09-09,59503.958
2022-06-06,94448.4089999999
2022-03-06,33236.437
2022-05-18,42973.822
