Fecha,Linea,LTS
2023-02-01,L440,10596.82
2019-01-18,L125,1278.14
2019-01-08,L125,1078.26
2019-01-07,L125,1048.56
2019-01-05,L125,340
2019-07-09,L146,1170.19
2019-07-05,L146,3205.48
2019-07-04,L146,2801.5
2019-06-25,L146,2843.97
2019-06-24,L146,2244.55
2019-06-21,L146,2506.08
2019-06-19,L107,5531.59
2019-06-11,L102,3051.21
2019-06-06,L146,3329.33
2019-06-03,L107,4165.46
2019-05-31,L107,5031.11
2019-05-30,L107,5801.28
2019-05-28,L107,4710.9
2019-05-24,L107,5383
2019-05-23,L107,6044.25
2019-05-17,L107,4421.13
2019-05-16,L107,4763.96
2019-05-15,L107,4819.08
2019-05-14,L107,5043.14
2019-05-09,L107,4609.81
2019-05-08,L107,5303.65
2019-05-07,L107,5809.03
2019-05-03,L107,5328.98
2019-05-02,L107,5296.38
2019-04-30,L107,3825.82
2019-04-17,L107,5448.97
2019-04-15,L107,5476.09
2019-04-11,L107,6080.61
2019-07-04,L107,5274.1
2019-07-03,L107,5593.41
2019-06-13,L146,2342.62
2019-06-12,L146,1268.31
2019-06-11,L146,3561.08
2019-06-10,L146,2735.98
2019-06-07,L107,4950.83
2019-06-05,L107,4939.27
2019-05-27,L107,5789.08
2019-05-24,L103,3778.64
2019-01-08,L129,1041.52
2019-01-07,L129,1568.98
2019-07-15,L107,4644.76
2019-07-06,L107,3889.61
2019-07-05,L107,5109.5
2019-06-25,L107,5231.55
2019-06-24,L107,5922.49
2019-06-21,L107,5426.71
2019-06-18,L107,5073.33
2019-06-13,L107,5888.01
2019-06-11,L107,7492.88
2019-06-10,L107,5097.61
2019-06-04,L107,4936.94
2019-05-22,L107,5082.12
2019-05-21,L107,5311.82
2019-05-19,L107,2613.75
2019-05-11,L107,3175.58
2019-05-10,L107,4479.17
2019-05-06,L107,4704.65
2019-04-29,L107,5173.94
2019-04-26,L107,5095.35
2019-04-25,L107,4908.98
2019-04-24,L107,5022.63
2019-04-22,L107,5646.65
2019-04-16,L107,4449.59
2019-04-12,L107,5080.01
2019-04-08,L102,2995.79
2019-04-03,L102,2776.82
2019-04-01,L102,2928.54
2019-03-29,L102,2550.51
2019-03-28,L107,5233.68
2019-03-27,L107,5349.3
2019-03-25,L107,5214.02
2019-03-22,L107,4565.75
2019-03-21,L107,4756.1
2019-03-19,L146,2045.82
2019-03-18,L146,2618.8
2019-03-14,L125,1428.66
2019-01-04,L125,698.1
2019-07-08,L107,2468.95
2019-07-03,L146,2437.69
2019-07-02,L146,2618.38
2019-06-30,L146,1762.05
2019-06-27,L146,3643.67
2019-06-23,L146,1597.15
2019-06-20,L146,1228.71
2019-06-19,L146,2566.29
2019-06-18,L146,3211.54
2019-06-16,L146,1476.98
2019-06-14,L146,2815.71
2019-06-04,L146,2721.16
2019-06-03,L146,2517.33
2019-05-31,L146,2932.59
2019-05-30,L146,2666.27
2019-05-28,L146,2339.31
2019-05-27,L146,2600.17
2019-05-24,L146,3333.52
2019-05-22,L146,2282.09
2019-05-21,L146,2262.59
2019-05-20,L146,2386.02
2019-05-19,L146,1849.92
2019-05-17,L146,3022.23
2019-05-16,L146,2601.4
2019-05-15,L146,2677.11
2019-05-14,L146,2536.38
2019-05-13,L146,2186.5
2019-05-11,L146,1277.06
2019-05-10,L146,3186.1
2019-05-08,L146,2477.64
2019-05-07,L146,2819.77
2019-05-03,L146,2801.08
2019-05-02,L146,2565.31
2019-04-30,L146,2181.57
2019-04-29,L146,2578.45
2019-04-26,L146,2540.63
2019-04-25,L146,2837.24
2019-04-24,L146,2364.9
2019-04-23,L146,2480.99
2019-04-22,L102,2842.19
2019-04-17,L102,2938.79
2019-04-11,L146,3256
2019-04-09,L146,2837.1
2019-04-07,L146,1036.02
2019-04-06,L146,1797.99
2019-04-05,L146,2720.89
2019-04-04,L107,4701.06
2019-04-03,L146,2374.82
2019-04-01,L146,2744.2
2019-03-30,L146,1710.65
2019-03-29,L146,2400.24
2019-03-28,L146,2417.77
2019-03-27,L146,2198.79
2019-03-26,L146,2907.22
2019-03-24,L146,1090.81
2019-03-22,L146,2916.78
2019-03-21,L146,2764.65
2019-03-20,L146,2535
2019-03-17,L146,1388
2019-03-15,L146,2269.66
2019-03-14,L146,2700.86
2019-03-13,L146,1846.93
2019-03-12,L107,4535.69
2019-03-11,L146,2291.65
2019-03-10,L146,1408.3
2019-03-07,L146,2937.5
2019-03-06,L146,2074.78
2019-03-05,L146,1122.51
2019-03-02,L146,1396.21
2019-03-01,L146,1789.04
2019-02-28,L146,1785.68
2019-02-27,L146,2381.08
2019-02-26,L146,1945.88
2019-02-25,L146,1366.94
2019-02-24,L146,1176.98
2019-02-22,L146,1572.3
2019-02-20,L146,3127.76
2019-02-19,L146,1887.5
2019-02-18,L146,1789.72
2019-02-17,L146,1298.08
2019-02-16,L146,1676.68
2019-02-13,L146,1599.82
2019-02-12,L146,1975.23
2019-02-11,L146,1503.9
2019-02-10,L146,2385.46
2019-02-08,L146,1244.04
2019-02-07,L146,1927.78
2019-02-06,L146,2273.01
2019-02-05,L146,1848.42
2019-02-04,L146,1581.56
2019-02-03,L146,1963.55
2019-02-01,L146,1440.73
2019-01-31,L146,2212.53
2019-01-30,L146,1982.65
2019-01-29,L146,2041.8
2019-01-28,L144,950.36
2019-01-13,L144,432.26
2019-01-10,L144,521.34
2019-01-09,L144,541.29
2019-01-08,L144,626.47
2019-06-28,L146,2326.15
2019-06-26,L102,3151.73
2019-06-24,L102,3097.86
2019-06-21,L102,2641.55
2019-06-19,L102,3251.07
2019-06-18,L102,2617.2
2019-06-14,L102,3004.2
2019-06-13,L102,2572.04
2019-06-05,L102,2898.48
2019-06-04,L102,3199.7
2019-06-03,L102,3079.66
2019-05-31,L102,2904.7
2019-05-30,L102,3718.39
2019-05-27,L102,2331.92
2019-05-24,L102,3228.97
2019-05-22,L102,2517.22
2019-05-21,L102,3117.88
2019-05-17,L102,2714.48
2019-05-09,L102,3228.76
2019-05-08,L102,2778.22
2019-05-07,L102,2874.15
2019-05-06,L102,3054.63
2019-05-03,L102,2853.49
2019-05-02,L102,3152.96
2019-04-30,L102,1947.84
2019-04-12,L102,2621.33
2019-04-11,L102,2916.32
2019-04-10,L102,2432.49
2019-04-09,L102,2669.61
2019-04-05,L102,3134.59
2019-04-04,L102,2555.88
2019-03-28,L102,2852.63
2019-03-27,L102,2912.6
2019-03-26,L102,2650.9
2019-03-21,L102,2719.84
2019-03-20,L102,2685.82
2019-03-19,L102,1339.62
2019-03-15,L102,2186.98
2019-03-14,L102,3374.39
2019-03-13,L102,1772.55
2019-03-11,L102,2500.75
2019-02-18,L101,2218.19
2019-02-04,L101,1659.24
2019-02-01,L101,1108.77
2019-01-31,L107,3693.79
2019-01-30,L107,3315.12
2019-01-29,L107,3736.51
2019-01-28,L101,1332.93
2019-07-16,L146,2411.1
2019-07-15,L146,2739.23
2019-07-13,L146,1534.85
2019-07-01,L146,2285.67
2019-06-29,L146,1529.98
2019-06-26,L146,1694.31
2019-06-15,L146,1582.41
2019-06-08,L146,1571.7
2019-06-07,L146,2690.82
2019-06-05,L146,2481.14
2019-05-23,L146,3047.98
2019-05-18,L146,1675.55
2019-05-09,L146,2575.16
2019-05-06,L146,3089.7
2019-04-29,L102,3096.74
2019-04-27,L146,1595.01
2019-04-24,L102,2571.35
2019-04-23,L102,2649.88
2019-04-16,L102,2640.99
2019-04-15,L146,2548.72
2019-04-12,L146,2489.09
2019-04-10,L146,1813.27
2019-04-08,L107,4015.88
2019-03-25,L102,2573.73
2019-03-23,L102,1533.9
2019-02-06,L107,3908.57
2019-02-03,L107,3144.38
2019-02-02,L107,2612.48
2019-02-01,L107,3840.76
2019-01-28,L107,3448.06
2019-01-27,L107,3696.88
2019-01-25,L107,3388.17
2019-01-24,L107,3686.77
2019-01-23,L107,3867.77
2019-06-10,L102,3229.91
2019-06-07,L102,2953.32
2019-06-06,L102,3235.33
2019-05-19,L102,870.14
2019-05-18,L102,1619.1
2019-05-16,L102,3327.06
2019-05-15,L102,2391.36
2019-05-14,L102,3005.83
2019-05-13,L102,3149.38
2019-05-10,L102,3089.37
2019-04-26,L102,2758.16
2019-04-25,L102,2916.01
2019-04-08,L142,5592.21
2019-04-04,L146,2408.52
