Mes,Year,Linea,LTS
2,2023,L440,254501.36
1,2019,L125,31935.29
7,2019,L146,66626.14
6,2019,L146,66032.7200000001
6,2019,L107,128055.47
6,2019,L102,67490.27
5,2019,L107,130221.57
4,2019,L107,126260.67
7,2019,L107,124609.89
5,2019,L103,96287.8300000001
1,2019,L129,33120.65
4,2019,L102,64162.61
3,2019,L102,57132.3700000001
3,2019,L107,121882.88
3,2019,L146,62301.19
3,2019,L125,31789.89
5,2019,L146,68704.01
4,2019,L146,65240.6899999999
2,2019,L146,46128.7
1,2019,L146,54444.5
1,2019,L144,19080.46
5,2019,L102,71302.06
2,2019,L101,41117.6
1,2019,L107,96216.64
1,2019,L101,35480.93
2,2019,L107,92951.75
4,2019,L142,150167.8
2,2019,L102,41508.73
7,2019,L102,57702.8199999999
7,2020,L440,235571.739999999
6,2020,L440,236027.61
7,2019,203M,441096.12
6,2019,203M,358072
5,2019,203M,387372.02
4,2019,203M,374443.620000001
3,2019,203M,371101.94
6,2023,L107,85538.69
5,2023,L107,95123.98
5,2023,L145/133,108011.41
5,2023,L146,66861.9200000001
5,2023,L128,54194.28
4,2023,L102/144,46946.6200000001
4,2023,L143/136/137,80982.63
4,2023,L122,105313.27
4,2023,L130,28647.4
4,2023,L107,93902.09
3,2023,L143/136/137,91126.01
3,2023,L142,157957.12
3,2023,L146,71468.1000000001
3,2023,L140,56579.32
2,2023,L143/136/137,70341.33
2,2023,L101,34979.74
2,2023,L102/144,38647.99
2,2023,L133/125,57104.31
1,2023,L133/125,65078.64
1,2023,L107,94140.61
1,2023,L102/144,46491.56
12,2022,L102/144,47148.1
11,2022,L107,100513.97
11,2022,L133/125,76133.46
10,2022,L133/125,65921.6400000001
9,2022,L133/125,74889.27
9,2022,L103,103934.59
8,2022,L133/125,75535.9400000001
8,2022,L110,117206.3
7,2022,L133/125,71194.76
6,2022,L133/125,71197.91
6,2022,L130/146,71521.1
6,2022,L103,98341.68
5,2022,L103,95554.2899999999
5,2022,L133/125,67646.96
5,2022,L143/136/137,79232.5
4,2022,L145/133,101862.76
4,2022,L133/125,66712.14
4,2022,L102/144,44845.47
3,2022,L133/125,71237.4
3,2022,L128,54849.4
3,2022,L145/133,114706.66
3,2022,L143/136/137,89179.55
2,2022,L143/136/137,63265.5000000001
2,2022,L133/125,50394.96
1,2022,L143/136/137,68315.14
12,2021,L143/136/137,83761.1299999999
12,2021,L133/125,70778.7299999999
11,2021,L133/125,69221.21
11,2021,L102/144,50879.2
10,2021,L133/125,69428.92
10,2021,L103,97760.1900000002
10,2021,L143/136/137,78370.3599999999
10,2021,L130/146,69059.13
9,2021,L130/146,71662.81
9,2021,L103,94406.8299999998
9,2021,L133/125,68800.38
9,2021,L143/136/137,75533.4
8,2021,L143/136/137,76540.5299999999
8,2021,L130/146,64999.3799999999
8,2021,L102/144,40768.32
7,2021,L102/144,35898.95
7,2021,L133/125,62603.3500000001
7,2021,L143/136/137,70897
6,2021,L143/136/137,71360.54
6,2021,L145/133,86517.83
6,2021,L102/144,32200.87
5,2021,L143/136/137,58166.54
4,2021,L143/136/137,78589.93
4,2021,L102/144,45709.71
3,2021,L102/144,50690.11
3,2021,L133/125,80933.1400000001
3,2021,L130/146,74763.57
2,2021,L133/125,75607.2500000001
1,2021,L133/125,18821.31
1,2021,L143,63235.8400000001
1,2021,L103,83705.04
1,2021,L101,22947.25
12,2020,L101,24866.82
12,2020,L144,12228.09
12,2020,L129,25249.98
12,2020,L145,51063.28
12,2020,L125,19153.37
11,2020,L125,9823.24
11,2020,L143,44806.06
11,2020,L144,7403.18
11,2020,L128,20117.77
10,2020,L128,32029.15
10,2020,L130,14253.37
9,2020,L130,7256.68
9,2020,L125,6488.29
8,2020,L125,15313.76
8,2020,L144,11247.99
7,2020,L144,1337.61
6,2020,L144,11246.47
6,2020,L143,53364.55
4,2020,L143,52345.98
3,2020,L144,26531.87
9,2019,L144,33896.53
8,2019,L144,33097.78
7,2019,L144,30761.55
7,2019,L130,38132.8
6,2019,L144,30781.03
5,2019,L144,33943.11
4,2019,L144,31652.1
4,2019,L130,36808.55
3,2019,L144,32031.65
2,2019,L144,22331.46
2,2019,L125,27813.08
6,2023,L142,136480.41
6,2023,L130,27725.01
5,2023,L130,29746.03
3,2023,L130,32350.67
3,2023,L126,24591.27
3,2023,L145/133,106357.14
2,2023,L107,77990.38
2,2023,L146,45203.35
1,2023,L130/146,64539
12,2022,L130/146,71072.74
12,2022,L142,147838.6
12,2022,L103,107562.75
11,2022,L145/133,112467.89
11,2022,L143/136/137,85683.5
11,2022,L110,121093.45
11,2022,L102/144,51683.57
11,2022,L128,53015.97
10,2022,L143/136/137,73814.9600000001
10,2022,L145/133,96762.49
10,2022,L122,98839.4900000002
10,2022,L107,87551.84
9,2022,L107,101060.41
9,2022,L143/136/137,82740.7000000001
9,2022,L142,146401.83
9,2022,L145/133,111501.37
8,2022,L122,109611.8
8,2022,L102/144,48935.97
8,2022,L126,24940.95
8,2022,L128,52043.45
8,2022,L145/133,110609.76
7,2022,L145/133,104363.76
7,2022,L128,50190.78
6,2022,L145/133,105364.36
5,2022,L145/133,103199.39
4,2022,L101,38530.56
4,2022,L130/146,69843.78
3,2022,L130/146,76207.85
2,2022,L102/144,32270.15
12,2021,L102/144,50395.65
11,2021,L145/133,106558.28
11,2021,L143/136/137,79709.4599999999
9,2021,L102/144,52417.03
8,2021,L103,91841.0999999999
7,2021,L130/146,60448
5,2021,L145/133,66567.6499999999
4,2021,L128,50966.68
4,2021,L130/146,68670.71
3,2021,L143/136/137,86438.6899999999
3,2021,L103,98106.93
2,2021,L130/146,63772.74
2,2021,L102/144,33021.64
2,2021,L125,14.57
10,2020,L125,14036.1
7,2020,L125,1664.38
6,2020,L125,13799.13
5,2020,L125,3944.3
3,2020,L125,28342.67
2,2020,L125,28794.53
1,2020,L125,32250.16
12,2019,L125,34697.67
11,2019,L125,35797.61
10,2019,L125,35396.97
9,2019,L125,34156.63
8,2019,L125,35652.5
8,2019,L130,41443.04
7,2019,L125,34431.7
6,2019,L125,33338.79
5,2019,L125,33648.34
5,2019,L130,38373.68
4,2019,L125,32844.11
3,2019,L129,41310.52
6,2023,L143/136/137,74831.74
5,2023,L143/136/137,87038.5600000001
5,2023,L142,151904.07
5,2023,L126,25829.24
4,2023,L126,23047.94
4,2023,L145/133,100978.94
4,2023,L140,49807.67
3,2023,L102/144,54805.19
3,2023,L122,114896.64
3,2023,L101,129204.54
3,2023,L128,54692.82
3,2023,L110,116111.03
1,2023,L110,100540.06
1,2023,L143/136/137,77655.94
12,2022,L143/136/137,81173.34
11,2022,L142,156455.12
11,2022,L103,113184.9
10,2022,L140,46892.12
10,2022,L138,40033.97
10,2022,L110,102304.06
10,2022,L101,40323.52
9,2022,L101,45524.9
9,2022,L140,50914.6
9,2022,L130/146,74056.5299999999
9,2022,L110,118379.16
9,2022,L102/144,50020.38
8,2022,L142,147622.58
8,2022,L107,101711.4
8,2022,L130/146,75126.56
8,2022,L140,52442.5
7,2022,L142,136379.08
7,2022,L110,108846.9
6,2022,L110,107396.83
5,2022,L102/144,46732.46
3,2022,L107,91075.39
2,2022,L107,68773.16
1,2022,L102/144,34138.1
12,2021,L128,52860.39
12,2021,L110,107197.13
11,2021,L142,136047.79
10,2021,L142,130421.66
10,2021,L102/144,52386.04
9,2021,L145/133,101715.99
9,2021,L128,48788.34
8,2021,L133/125,66471.14
8,2021,L128,46470.57
6,2021,L130/146,59475.4
6,2021,L133/125,62279.76
5,2021,L133/125,56264.41
4,2021,L133/125,75501.61
1,2021,L143/136/137,19164.09
1,2021,L129,18347.56
12,2020,L103,83802.8700000001
10,2020,L129,20052.58
9,2020,L129,10065.65
8,2020,L129,18891.22
1,2020,L143,102290.75
12,2019,L145,72468.82
12,2019,L129,41041.04
12,2019,L144,27545.38
12,2019,L130,34769.68
11,2019,L128,73050.33
11,2019,L144,33147.99
10,2019,L144,33361.78
9,2019,L130,36358.92
7,2019,L129,41296.99
3,2019,L143,104335.65
1,2019,LI41,159332.66
7,2023,L130,29410.11
5,2023,L103,101079.34
4,2023,L101,44198.43
12,2022,L145/133,103650.25
11,2022,L130/146,78716.7600000001
10,2022,L142,135649.67
10,2022,L130/146,68171.8
7,2022,L130/146,68303.37
6,2022,L142,135426.86
6,2022,L143/136/137,81999.8300000001
5,2022,L128,49949.37
5,2022,L107,89670.9
5,2022,L130/146,69100.29
4,2022,L143/136/137,80833.33
3,2022,L102/144,50519.41
1,2022,L145/133,87229.03
12,2021,L145/133,109904.62
10,2021,L145/133,105405.88
6,2021,L103,80657.27
6,2021,L128,39390.8
5,2021,L128,35241.04
2,2021,L103,79945.23
2,2021,L143/136/137,75101.37
2,2021,L110,78465.65
1,2021,L110,79103.73
1,2021,L130/146,15030.2
1,2021,L145,39692.26
6,2020,L130,15249.64
3,2020,L130,29516.66
2,2020,L130,30854.16
11,2019,L130,38387.09
11,2019,L143,108903.75
10,2019,L130,37873.36
6,2019,L130,35773.65
1,2021,L146,33952.68
12,2020,L146,44741.32
12,2020,L142,107781.43
11,2020,L146,27645.21
11,2020,L107,38226.19
10,2020,L146,47784.78
9,2020,L146,20301.53
8,2020,L146,37386.89
8,2020,L142,79762.8
7,2020,L142,8611.19
6,2020,L142,76436.2500000001
6,2020,L107,54440.48
6,2020,L146,37339.8400000001
5,2020,L146,12993.01
4,2020,L146,42262.31
3,2020,L146,60717.75
2,2020,L146,67032.5
2,2020,L107,90190.2499999999
1,2020,L146,69065.3199999999
1,2020,L142,149165.11
12,2019,L146,66406.3299999999
12,2019,L102,41768.61
11,2019,L102,45424.53
10,2019,L102,43806.91
9,2019,L102,43321.26
8,2019,L102,45786.42
7,2023,L107,93764.7500000002
6,2023,L103,95119.3
6,2023,L101,41308.85
6,2023,L146,61361.4400000001
5,2023,L101,45094.72
5,2023,L102/144,48364.7
5,2023,L140,50078.14
4,2023,L146,64424.54
4,2023,L142,142077.05
3,2023,L107,100926.85
3,2023,L138,50677.28
11,2022,L140,53478.5
11,2022,L138,47199.6
11,2022,L101,48831.25
11,2022,L126,26295.06
9,2022,L126,25880.43
8,2022,L143/136/137,87847.4699999999
8,2022,L103,102508.24
8,2022,L138,44658.49
6,2022,L128,51848.6
6,2022,L140,50232.02
6,2022,L102/144,47179.81
4,2022,L142,124060.63
2,2022,L130/146,55724.85
12,2021,L130/146,71771.5900000001
11,2021,L130/146,70566.9400000001
9,2021,L101,37572.19
8,2021,L145/133,98426.4899999999
7,2021,L128,41998.19
7,2021,L145/133,90552.3300000001
6,2021,L101,24771.61
1,2021,L130,13821.73
12,2020,L130,18490.29
12,2020,L128,38412.51
11,2020,L130,9346.93999999999
11,2020,L103,49019.41
10,2020,L103,72299.01
8,2020,L130,15588.67
