Semana,Linea,LTS
2023-01-29,L440,67273.34
2019-01-13,L125,8161.77
2019-01-06,L125,7884.75
2018-12-30,L125,3038.62
2019-07-07,L146,12447.81
2019-06-30,L146,16654.06
2019-06-23,L146,15879.78
2019-06-16,L146,13567.82
2019-06-16,L107,26499.67
2019-06-09,L102,17689.96
2019-06-02,L146,16951.75
2019-06-02,L107,29503.13
2019-05-26,L107,27538.68
2019-05-19,L107,31584.57
2019-05-12,L107,29908.66
2019-05-05,L107,30507.25
2019-04-28,L107,26539.94
2019-04-14,L107,27390.28
2019-04-07,L107,29568.03
2019-06-30,L107,33917.29
2019-06-09,L146,16043.75
2019-05-19,L103,21833.49
2019-01-06,L129,7368.56
2019-07-14,L107,28726.82
2019-06-23,L107,32257.55
2019-06-09,L107,33357.19
2019-04-21,L107,31734.93
2019-04-07,L102,15144.57
2019-03-31,L102,14616.86
2019-03-24,L102,15866.76
2019-03-24,L107,30228.08
2019-03-17,L107,29127.62
2019-03-17,L146,15609.43
2019-03-10,L125,7690.07
2019-07-07,L107,26146.35
2019-05-26,L146,13876.16
2019-05-19,L146,16698.13
2019-05-12,L146,16528.61
2019-05-05,L146,16481.73
2019-04-28,L146,13122.23
2019-04-21,L146,16266.06
2019-04-21,L102,15840.02
2019-04-14,L102,13074.86
2019-04-07,L146,15460.86
2019-03-31,L146,14729.33
2019-03-31,L107,28361.66
2019-03-24,L146,15150.97
2019-03-10,L146,14428.2
2019-03-10,L107,28449.97
2019-03-03,L146,12432.11
2019-02-24,L146,11841.81
2019-02-17,L146,12009.84
2019-02-10,L146,11081.08
2019-02-03,L146,11776.74
2019-01-27,L146,13208.94
2019-01-27,L144,5066.53
2019-01-13,L144,4040.35
2019-01-06,L144,3949.09
2019-06-23,L102,16940.15
2019-06-16,L102,12740.04
2019-06-02,L102,17449.53
2019-05-26,L102,14017.87
2019-05-19,L102,16479.11
2019-05-12,L102,17590.1
2019-05-05,L102,17177.7
2019-04-28,L102,14044.94
2019-03-17,L102,14029.36
2019-03-10,L102,14194.67
2019-02-17,L101,11607.65
2019-02-03,L101,10350.83
2019-01-27,L101,8251.49
2019-01-27,L107,24343.6
2019-07-14,L146,15056.28
2019-04-14,L146,14104.39
2019-02-03,L107,21947.97
2019-01-20,L107,23262.15
2019-04-07,L142,35732.54
2019-03-03,L102,9648.08
2019-02-24,L102,9852.57
2019-02-17,L102,10595.44
2019-02-10,L102,10241.97
2019-02-03,L102,10720.17
2019-01-27,L102,11359.35
2019-03-03,L107,24203.18
2019-07-14,L102,14564.88
2019-07-07,L102,12095.71
2019-06-30,L102,16161.59
2019-02-24,L107,25517.37
2019-02-17,L107,22328.31
2019-02-10,L107,23543.57
2019-01-20,L101,7934.87
2019-01-20,L146,11892.19
2019-01-13,L146,12032.65
2019-01-06,L146,12184.28
2018-12-30,L146,7730.92
2020-07-12,L440,55198.56
2020-06-07,L440,56828.48
2019-07-21,203M,110409.66
2019-06-30,203M,88059.65
2019-06-16,203M,69735.59
2019-06-09,203M,81218.8599999999
2019-05-12,203M,84003.0799999999
2019-05-05,203M,108748.66
2019-04-21,203M,91425.5500000001
2019-04-14,203M,83639.1
2019-03-17,203M,89896.43
2023-06-04,L107,22767.86
2023-05-21,L107,18071.47
2023-05-21,L145/133,19989.07
2023-05-14,L146,15505.22
2023-05-07,L146,15997.88
2023-04-30,L146,14715.17
2023-04-30,L128,11240.09
2023-04-23,L102/144,12131.35
2023-04-23,L143/136/137,19110.24
2023-04-16,L143/136/137,20338.45
2023-04-16,L122,26178.57
2023-04-16,L130,7298.18
2023-04-09,L107,23240.57
2023-04-09,L122,27032.35
2023-04-02,L143/136/137,18101.84
2023-03-26,L143/136/137,20036.58
2023-03-19,L142,29876.66
2023-03-19,L146,14727.82
2023-03-12,L146,16310.34
2023-03-05,L146,16168.64
2023-02-26,L146,15969.69
2023-02-26,L140,11981.37
2023-02-26,L143/136/137,20162.28
2023-02-19,L143/136/137,15204.36
2023-02-12,L143/136/137,17607.45
2023-02-12,L101,9059.46
2023-02-05,L101,8982.45
2023-02-05,L102/144,9833.75
2023-02-05,L133/125,15175.16
2023-01-29,L133/125,14682.22
2023-01-22,L107,20363.35
2023-01-22,L102/144,11531.51
2023-01-01,L102/144,9771.5
2022-12-25,L102/144,8922.52
2022-12-18,L102/144,10775.08
2022-12-11,L102/144,11838.01
2022-11-20,L107,21195.09
2022-11-20,L133/125,16709.13
2022-11-13,L133/125,17943.79
2022-11-06,L133/125,18071.93
2022-10-30,L133/125,16958.77
2022-10-23,L133/125,17408.12
2022-10-16,L133/125,17023.62
2022-10-09,L133/125,10169.3
2022-10-02,L133/125,15654.35
2022-09-25,L133/125,17797
2022-09-25,L103,23861
2022-09-18,L133/125,17632.69
2022-09-11,L133/125,17542.36
2022-08-28,L133/125,16069.13
2022-08-21,L110,26330.32
2022-08-21,L133/125,17169.07
2022-08-14,L133/125,15645.72
2022-08-07,L133/125,17098.46
2022-07-31,L133/125,17221.38
2022-07-24,L133/125,17025.72
2022-07-17,L133/125,15524.48
2022-06-26,L133/125,17592.82
2022-06-19,L133/125,16219.74
2022-06-12,L133/125,15421.81
2022-06-05,L133/125,17136.16
2022-06-05,L130/146,17773.32
2022-05-29,L103,23321.95
2022-05-22,L103,21982.47
2022-05-22,L133/125,15369.69
2022-05-15,L133/125,12410.53
2022-05-08,L133/125,16527.21
2022-05-08,L143/136/137,19774.45
2022-05-01,L143/136/137,20156.09
2022-04-24,L145/133,21997.23
2022-04-17,L145/133,25513.39
2022-04-17,L133/125,17308.87
2022-04-10,L133/125,14232.09
2022-04-10,L102/144,9475
2022-04-03,L133/125,16482.54
2022-03-27,L133/125,16303.61
2022-03-20,L133/125,15052.6
2022-03-20,L128,11746.11
2022-03-20,L145/133,23675.54
2022-03-13,L145/133,26432.02
2022-03-06,L145/133,27361.69
2022-03-06,L143/136/137,20857.5
2022-03-06,L128,12196.34
2022-02-27,L128,9769.67
2022-02-27,L143/136/137,17389.33
2022-02-20,L133/125,12558.79
2022-02-13,L133/125,13236.67
2022-01-16,L143/136/137,16364.56
2022-01-09,L143/136/137,15718.15
2021-12-19,L143/136/137,18693.55
2021-12-19,L133/125,15852.99
2021-12-12,L143/136/137,20121.11
2021-12-05,L133/125,15859.26
2021-11-28,L133/125,16746.39
2021-11-21,L133/125,14349.18
2021-11-21,L102/144,10453.2
2021-11-14,L102/144,12254.41
2021-11-14,L133/125,16238.63
2021-11-07,L133/125,16906.91
2021-10-31,L133/125,16268.33
2021-10-24,L133/125,17229.41
2021-10-24,L103,25486.54
2021-10-24,L143/136/137,19192.14
2021-10-17,L143/136/137,18063.47
2021-10-10,L143/136/137,16878.55
2021-10-10,L130/146,14457.1
2021-10-03,L130/146,14833.75
2021-09-26,L130/146,15418.31
2021-09-19,L130/146,16606.81
2021-09-12,L130/146,17008.5
2021-09-12,L103,21939.71
2021-09-05,L103,21892.59
2021-09-05,L133/125,15635.66
2021-08-29,L130/146,16040.46
2021-08-29,L133/125,14881.73
2021-08-29,L143/136/137,16928.51
2021-08-22,L130/146,14566.94
2021-08-15,L130/146,13314.08
2021-08-08,L130/146,15500.95
2021-08-01,L130/146,15758.43
2021-08-01,L102/144,9523.94
2021-07-25,L102/144,9889.79
2021-07-18,L102/144,7626.5
2021-07-11,L133/125,13802.81
2021-07-04,L133/125,12806.28
2021-07-04,L143/136/137,15101.74
2021-07-04,L102/144,7793
2021-06-27,L143/136/137,16862.28
2021-06-27,L145/133,21083.79
2021-06-20,L143/136/137,15028.85
2021-06-20,L102/144,7112.83
2021-06-06,L102/144,7295.74
2021-06-06,L143/136/137,16828.89
2021-05-30,L143/136/137,16615.62
2021-05-23,L143/136/137,8793.22
2021-05-16,L143/136/137,10105.66
2021-05-09,L143/136/137,15705.81
2021-05-02,L143/136/137,17481.82
2021-04-25,L143/136/137,18641.11
2021-04-18,L143/136/137,18110.97
2021-04-11,L143/136/137,18341.1
2021-04-11,L102/144,11033.41
2021-04-04,L102/144,11503.12
2021-03-28,L102/144,9106.41999999999
2021-03-28,L133/125,15972.89
2021-03-21,L133/125,16581.63
2021-03-21,L130/146,15372.31
2021-03-14,L130/146,16804.94
2021-03-07,L133/125,18310
2021-02-28,L133/125,20021.17
2021-02-21,L133/125,21012.25
2021-02-14,L133/125,17053.19
2021-02-07,L133/125,19358.61
2021-01-24,L133/125,16866.05
2021-01-10,L143,18347.89
2021-01-10,L103,19222.62
2021-01-03,L103,18943.39
2021-01-03,L101,5190.73
2020-12-27,L101,5122.79
2020-12-20,L101,6267.31
2020-12-13,L144,2872.3
2020-12-13,L129,6173.61
2020-12-06,L145,10423.51
2020-12-06,L125,3993.76
2020-11-29,L125,3905.69
2020-11-22,L143,18274.1
2020-11-22,L144,2697.36
2020-11-08,L144,1155.11
2020-11-01,L144,2703.93
2020-11-01,L128,7960.69
2020-10-25,L128,7575.02
2020-10-18,L128,7172.18
2020-10-11,L130,3232.76
2020-10-04,L130,3312.8
2020-09-27,L130,3388.04
2020-09-27,L125,2904.77
2020-08-23,L125,2593.74
2020-08-16,L125,3561.82
2020-08-16,L144,2695.87
2020-08-09,L144,3203.9
2020-08-02,L144,3237.84
2020-07-26,L144,1056.83
2020-06-21,L144,2598.24
2020-06-14,L143,11535.54
2020-04-26,L143,12607.98
2020-03-15,L144,5755.64
2019-09-01,L144,8165.02
2019-08-25,L144,7741.02
2019-08-18,L144,7346.72
2019-08-11,L144,7284.02
2019-08-04,L144,7592.45
2019-07-28,L144,7746.08
2019-07-21,L144,7740.90999999999
2019-07-21,L130,9269.41
2019-07-14,L144,5995.57
2019-07-07,L144,4469.91
2019-06-30,L144,8454.26
2019-06-23,L144,7401.65
2019-06-16,L144,6244.62
2019-06-09,L144,7542.16
2019-06-02,L144,8563.18
2019-05-26,L144,6605.59
2019-05-19,L144,8127.81
2019-05-12,L144,8478.05
2019-05-05,L144,7749.86
2019-04-28,L144,6685.37
2019-04-21,L144,7855.76
2019-04-14,L144,6545.4
2019-04-14,L130,8103.04
2019-04-07,L130,8824.76
2019-04-07,L144,7935.16
2019-03-31,L144,6613.32
2019-03-24,L144,8745.58
2019-03-17,L144,8069.19
2019-03-10,L144,7225.62
2019-03-03,L144,5654.78
2019-02-24,L144,6556.92
2019-02-17,L144,5901.13
2019-02-10,L144,5487.56
2019-02-10,L125,6873.02
2019-02-03,L125,6868.05
2019-01-20,L144,5028.25
2019-01-20,L125,7592.49
2023-06-25,L142,35156.43
2023-06-25,L130,7294.86
2023-06-04,L130,7271.67
2023-05-28,L130,7229.81
2023-05-21,L130,5833.92
2023-05-14,L130,6999.33
2023-05-07,L130,7062.96
2023-04-30,L130,6158.96
2023-04-23,L130,7007.31
2023-04-09,L130,7093.99
2023-04-02,L130,5977.29
2023-03-26,L130,7635.08
2023-03-26,L140,12290.08
2023-03-19,L130,6817.81
2023-03-12,L126,6028.45
2023-03-12,L145/133,25221.75
2023-03-05,L130,6121.66
2023-02-26,L130,7863.84
2023-02-12,L107,19574.06
2023-02-05,L146,13408.61
2023-01-01,L130/146,14139.75
2022-12-25,L130/146,14254.87
2022-12-18,L142,32786.83
2022-12-18,L130/146,16112.2
2022-12-11,L142,37297.17
2022-12-11,L103,26858.07
2022-12-04,L142,31361.99
2022-11-27,L142,37866.92
2022-11-27,L145/133,27459.86
2022-11-20,L143/136/137,17562.73
2022-11-13,L107,24377.57
2022-11-13,L110,28669.75
2022-11-13,L102/144,12284.32
2022-11-06,L102/144,11853.21
2022-11-06,L128,12329.87
2022-10-30,L102/144,11905.93
2022-10-30,L143/136/137,19286.07
2022-10-23,L143/136/137,18914.47
2022-10-16,L143/136/137,19693.89
2022-10-16,L145/133,25268.56
2022-10-09,L145/133,14474.54
2022-10-09,L122,15470.65
2022-10-02,L143/136/137,17801.8
2022-10-02,L107,21119.57
2022-09-25,L107,23921.49
2022-09-25,L143/136/137,18929.41
2022-09-18,L143/136/137,18977.16
2022-09-18,L142,33113.85
2022-09-11,L143/136/137,19909.66
2022-09-11,L103,24241.38
2022-09-04,L145/133,27070.5
2022-08-28,L122,24073.81
2022-08-21,L102/144,11074.16
2022-08-21,L122,22863.19
2022-08-21,L126,5231.56
2022-08-21,L128,11414.58
2022-07-31,L128,12098.78
2022-07-31,L145/133,25152.06
2022-07-24,L145/133,25380.21
2022-07-24,L128,12282.07
2022-07-17,L145/133,22407.72
2022-07-10,L145/133,22499.14
2022-07-03,L145/133,25565.8
2022-06-26,L145/133,25845.9
2022-06-19,L145/133,22643.16
2022-06-12,L145/133,23491.55
2022-06-05,L145/133,25124.74
2022-05-29,L145/133,25288.92
2022-05-22,L145/133,22180.53
2022-05-15,L145/133,18597.38
2022-05-08,L145/133,26283.56
2022-05-01,L145/133,25998.48
2022-04-24,L101,8725.58
2022-04-10,L130/146,14395.89
2022-04-03,L130/146,18168.61
2022-03-27,L130/146,17177.78
2022-03-20,L130/146,15603.8
2022-03-06,L133/125,15909.21
2022-02-27,L133/125,14049.76
2022-02-20,L102/144,7869.32
2021-12-19,L102/144,11944.47
2021-12-12,L102/144,12583.28
2021-12-05,L102/144,11388.71
2021-11-28,L102/144,12238.87
2021-11-21,L145/133,20463.64
2021-11-14,L145/133,26421.08
2021-10-31,L143/136/137,19391.6
2021-10-24,L130/146,17947.93
2021-10-17,L133/125,16657.83
2021-10-17,L130/146,16237.45
2021-09-26,L103,21027.65
2021-09-26,L143/136/137,17682.78
2021-09-19,L143/136/137,17069.59
2021-09-12,L143/136/137,18150.92
2021-09-05,L102/144,12500.84
2021-08-29,L102/144,11923.38
2021-08-22,L102/144,8335.65
2021-08-22,L103,21307.56
2021-07-25,L130/146,15235.81
2021-07-18,L130/146,12625.1
2021-07-04,L130/146,12438.11
2021-05-02,L145/133,20702.99
2021-04-25,L128,11497.63
2021-04-25,L130/146,15944.41
2021-04-18,L130/146,16269.01
2021-04-11,L130/146,16404.38
2021-04-04,L130/146,16635.7
2021-03-28,L130/146,14513.94
2021-03-21,L143/136/137,17781.63
2021-03-21,L103,19731.48
2021-03-14,L102/144,10895.43
2021-03-07,L102/144,11906.23
2021-03-07,L130/146,17287.78
2021-02-28,L102/144,12105.27
2021-02-28,L130/146,17196.83
2021-02-21,L130/146,17734.95
2021-02-14,L102/144,7891.56
2021-02-07,L102/144,7894.54
2021-02-07,L125,14.57
2020-12-20,L125,4430.73
2020-10-18,L125,3886.17
2020-10-11,L125,2991.37
2020-10-04,L125,2795.72
2020-09-20,L125,1906.4
2020-09-13,L125,2723.83
2020-08-09,L125,4330.24
2020-08-02,L125,4530.6
2020-07-26,L125,1209.98
2020-06-28,L125,2449.9
2020-06-21,L125,3673.01
2020-06-14,L125,3586.36
2020-06-07,L125,3168.9
2020-05-31,L125,1672.72
2020-05-03,L125,2763.89
2020-03-15,L125,6428.73
2020-03-08,L125,8997.11
2020-03-01,L125,9099.02
2020-02-23,L125,6213.57
2020-02-09,L125,7605.18
2020-02-02,L125,7154.06
2020-01-26,L125,6909.62
2020-01-19,L125,7530.73
2020-01-12,L125,7062.44
2020-01-05,L125,7797.65
2019-12-29,L125,6124.69
2019-12-22,L125,6094.58
2019-12-15,L125,7937.85
2019-12-08,L125,9572.32
2019-12-01,L125,8774.79
2019-11-24,L125,8908.66
2019-11-17,L125,9097.31
2019-11-10,L125,7314.68000000001
2019-11-03,L125,7915.83
2019-10-27,L125,8701.49
2019-10-20,L125,8047.15
2019-10-13,L125,7624.81
2019-10-06,L125,7401.42
2019-09-29,L125,8087.69000000001
2019-09-22,L125,8083.59
2019-09-15,L125,8490.4
2019-09-08,L125,6998.46
2019-09-01,L125,8679.72
2019-08-25,L125,7888.02
2019-08-18,L125,7768.37
2019-08-11,L125,8167.09
2019-08-11,L130,9538.7
2019-08-04,L125,7884.98
2019-07-28,L125,8607.77
2019-07-21,L125,8257.72
2019-07-14,L125,7440.31
2019-07-07,L125,6019.42
2019-06-30,L125,8567.16
2019-06-23,L125,8243.33
2019-06-09,L125,7980.53
2019-06-02,L125,8984.91
2019-05-26,L125,6799.82
2019-05-19,L125,7804.62
2019-05-19,L130,8810.68
2019-05-12,L125,8118.27
2019-05-05,L125,7809.2
2019-04-28,L125,7037.56
2019-04-21,L125,7801.04
2019-04-14,L125,7090.6
2019-04-07,L125,7919.53
2019-03-31,L125,7703.46
2019-03-24,L125,7430.94
2019-03-03,L125,5484.44
2019-03-03,L129,9244.89
2019-02-24,L125,7073.75
2019-02-17,L125,7629.8
2019-01-27,L125,6635.11
2023-05-28,L143/136/137,19622.84
2023-05-28,L142,36378.84
2023-05-14,L107,23131.44
2023-05-14,L126,6081.85
2023-05-14,L128,12590.63
2023-05-14,L143/136/137,19766.26
2023-05-07,L143/136/137,21087.55
