FechaRecaudacion,des_lin,Cantidad_Pasajeros
2019-01-02T00:00:00Z,107,15157
2019-01-02T00:00:00Z,315,13597
2019-01-02T00:00:00Z,440,63827
2019-01-02T00:00:00Z,740,24374
2019-01-02T00:00:00Z,PILAR 203,44968
2019-01-02T00:00:00Z,CN33/9,2579
2019-01-02T00:00:00Z,EXPRESO,12945
2019-01-02T00:00:00Z,CP25 A,3198
2019-01-02T00:00:00Z,C AZUL,2451
2019-01-02T00:00:00Z,35/9,10058
2019-01-02T00:00:00Z,LINEA A,8646
2019-01-02T00:00:00Z,MORENO 203,59863
2019-01-02T00:00:00Z,CP33/9,5358
2019-01-02T00:00:00Z,FABRICA,6
2019-01-02T00:00:00Z,103,14355
2019-01-02T00:00:00Z,143,10919
2019-01-02T00:00:00Z,125,3039
2019-01-02T00:00:00Z,41,32755
2019-01-02T00:00:00Z,110,13645
2019-01-02T00:00:00Z,C NEGRA,2957
2019-01-02T00:00:00Z,128,8314
2019-01-02T00:00:00Z,145,8766
2019-01-02T00:00:00Z,146,9394
2019-01-02T00:00:00Z,142,15895
2019-01-02T00:00:00Z,144,3918
2019-01-02T00:00:00Z,102,6703
2019-01-02T00:00:00Z,101,4716
2019-01-02T00:00:00Z,130,4844
2019-01-02T00:00:00Z,129,3569
2019-01-02T00:00:00Z,C ROJA,50
2019-01-02T00:00:00Z,RINCÓN,11632
2019-01-02T00:00:00Z,35/9 V,13950
2019-01-02T00:00:00Z,VILLA CONS,419
2019-01-03T00:00:00Z,107,18850
2019-01-03T00:00:00Z,315,15443
2019-01-03T00:00:00Z,440,79930
2019-01-03T00:00:00Z,740,29666
2019-01-03T00:00:00Z,PILAR 203,52513
2019-01-03T00:00:00Z,CN33/9,2382
2019-01-03T00:00:00Z,EXPRESO,16592
2019-01-03T00:00:00Z,CP25 A,4191
2019-01-03T00:00:00Z,C AZUL,3013
2019-01-03T00:00:00Z,35/9,12767
2019-01-03T00:00:00Z,LINEA A,10987
2019-01-03T00:00:00Z,MORENO 203,69155
2019-01-03T00:00:00Z,CP33/9,6595
2019-01-03T00:00:00Z,FABRICA,6
2019-01-03T00:00:00Z,103,17749
2019-01-03T00:00:00Z,143,13594
2019-01-03T00:00:00Z,125,4127
2019-01-03T00:00:00Z,41,38628
2019-01-03T00:00:00Z,110,17532
2019-01-03T00:00:00Z,C NEGRA,3545
2019-01-03T00:00:00Z,128,10296
2019-01-03T00:00:00Z,145,11321
2019-01-03T00:00:00Z,146,12237
2019-01-03T00:00:00Z,142,19513
2019-01-03T00:00:00Z,144,4710
2019-01-03T00:00:00Z,102,9649
2019-01-03T00:00:00Z,101,6230
2019-01-03T00:00:00Z,130,6335
2019-01-03T00:00:00Z,129,4849
2019-01-03T00:00:00Z,C ROJA,49
2019-01-03T00:00:00Z,RINCÓN,13061
2019-01-03T00:00:00Z,35/9 V,18492
2019-01-03T00:00:00Z,VILLA CONS,594
2019-01-04T00:00:00Z,107,20259
