Mes,Year,des_lin,Cantidad_Pasajeros
1,2019,107,485682
1,2019,315,468947
1,2019,440,2058203
1,2019,740,751692
1,2019,PILAR 203,1447265
1,2019,CN33/9,70291
1,2019,EXPRESO,444080
1,2019,CP25 A,107155
1,2019,C AZUL,75776
1,2019,35/9,324712
1,2019,LINEA A,307852
1,2019,MORENO 203,1874826
1,2019,CP33/9,181737
1,2019,FABRICA,886
1,2019,103,456082
1,2019,143,347642
1,2019,125,104009
1,2019,41,979544
1,2019,110,453645
1,2019,C NEGRA,91567
1,2019,128,259368
1,2019,145,279442
1,2019,146,303176
1,2019,142,500593
1,2019,144,115344
1,2019,102,224682
1,2019,101,150105
1,2019,130,152987
1,2019,129,118007
1,2019,C ROJA,1371
1,2019,RINCÓN,379643
1,2019,35/9 V,444669
1,2019,VILLA CONS,13714
2,2019,107,508960
2,2019,315,461473
2,2019,440,1939624
2,2019,740,738305
2,2019,PILAR 203,1406627
2,2019,CN33/9,73073
2,2019,EXPRESO,442165
2,2019,CP25 A,111206
2,2019,C AZUL,77628
2,2019,35/9,332742
2,2019,LINEA A,311864
2,2019,MORENO 203,1803452
2,2019,CP33/9,191100
2,2019,FABRICA,1063
2,2019,103,463371
2,2019,143,362872
2,2019,125,110878
2,2019,41,966194
2,2019,110,460876
2,2019,C NEGRA,96645
2,2019,128,263134
2,2019,145,292298
2,2019,146,310377
2,2019,142,515191
2,2019,144,151463
2,2019,102,241639
2,2019,101,168710
2,2019,130,155582
2,2019,129,118665
2,2019,C ROJA,1415
2,2019,RINCÓN,390874
2,2019,35/9 V,441375
2,2019,VILLA CONS,12960
3,2019,107,611092
3,2019,315,604839
3,2019,440,2432652
3,2019,740,919508
3,2019,PILAR 203,1563591
3,2019,CN33/9,85201
3,2019,EXPRESO,461944
3,2019,CP25 A,123659
3,2019,C AZUL,89009
3,2019,35/9,379688
3,2019,LINEA A,344844
3,2019,MORENO 203,2152679
3,2019,CP33/9,220682
3,2019,FABRICA,1030
3,2019,103,546579
3,2019,143,423990
3,2019,125,133230
3,2019,41,1128918
3,2019,110,541280
3,2019,C NEGRA,108613
3,2019,128,308782
3,2019,145,349360
3,2019,146,372360
3,2019,142,590868
3,2019,144,195488
3,2019,102,295259
3,2019,101,224059
3,2019,130,182212
3,2019,129,149821
3,2019,C ROJA,2835
3,2019,RINCÓN,426999
3,2019,35/9 V,463464
3,2019,VILLA CONS,17810
4,2019,107,645518
4,2019,315,578458
4,2019,440,2726601
4,2019,740,920107
4,2019,PILAR 203,1519209
4,2019,CN33/9,90412
4,2019,EXPRESO,467646
4,2019,CP25 A,127190
4,2019,C AZUL,93296
4,2019,35/9,387545
4,2019,LINEA A,351415
4,2019,CP33/9,227416
4,2019,MORENO 203,2107523
4,2019,FABRICA,1222
4,2019,103,561627
4,2019,143,444926
4,2019,125,137476
4,2019,41,1163700
4,2019,110,556821
4,2019,C NEGRA,115020
4,2019,128,322872
4,2019,145,370502
4,2019,146,385632
4,2019,142,609996
4,2019,144,219291
4,2019,102,331633
4,2019,101,261284
4,2019,130,195589
4,2019,129,154606
4,2019,C ROJA,3040
4,2019,RINCÓN,431966
4,2019,35/9 V,462835
4,2019,VILLA CONS,19828
5,2019,740,956491
5,2019,103,598548
5,2019,LINEA A,361694
5,2019,35/9,419694
5,2019,RINCÓN,470184
5,2019,107,697750
5,2019,315,623607
5,2019,440,2819671
5,2019,PILAR 203,1545002
5,2019,CN33/9,93719
5,2019,EXPRESO,495108
5,2019,CP25 A,144147
5,2019,C AZUL,102395
5,2019,CP33/9,240975
5,2019,MORENO 203,2140606
5,2019,FABRICA,20971
5,2019,143,476356
5,2019,125,151725
5,2019,41,1189214
5,2019,110,595562
5,2019,C NEGRA,126598
5,2019,128,353568
5,2019,145,408986
5,2019,146,417830
5,2019,142,646257
5,2019,144,235385
5,2019,102,359800
5,2019,101,289540
5,2019,130,215211
5,2019,129,172504
5,2019,C ROJA,3922
5,2019,35/9 V,506058
5,2019,VILLA CONS,25274
6,2019,107,651258
6,2019,315,594434
6,2019,440,2569769
6,2019,740,877648
6,2019,PILAR 203,1443857
6,2019,CN33/9,94628
6,2019,EXPRESO,470000
6,2019,CP25 A,132341
6,2019,C AZUL,96439
6,2019,35/9,386853
6,2019,LINEA A,349356
6,2019,CP33/9,220104
6,2019,MORENO 203,2040550
6,2019,103,557323
6,2019,143,440506
6,2019,125,141015
6,2019,41,1064203
6,2019,110,564936
6,2019,C NEGRA,116891
6,2019,128,326805
6,2019,145,371115
6,2019,146,396629
6,2019,142,602683
6,2019,144,211307
