Semana,des_lin,Cantidad_Pasajeros
2018-12-30T00:00:00Z,107,67462
2018-12-30T00:00:00Z,315,60432
2018-12-30T00:00:00Z,440,297355
2018-12-30T00:00:00Z,740,107117
2018-12-30T00:00:00Z,PILAR 203,195493
2018-12-30T00:00:00Z,CN33/9,10126
2018-12-30T00:00:00Z,EXPRESO,60446
2018-12-30T00:00:00Z,CP25 A,14478
2018-12-30T00:00:00Z,C AZUL,10765
2018-12-30T00:00:00Z,35/9,43577
2018-12-30T00:00:00Z,LINEA A,41607
2018-12-30T00:00:00Z,MORENO 203,261215
2018-12-30T00:00:00Z,CP33/9,25169
2018-12-30T00:00:00Z,FABRICA,18
2018-12-30T00:00:00Z,103,62405
2018-12-30T00:00:00Z,143,48277
2018-12-30T00:00:00Z,125,14076
2018-12-30T00:00:00Z,41,133074
2018-12-30T00:00:00Z,110,61360
2018-12-30T00:00:00Z,C NEGRA,13024
2018-12-30T00:00:00Z,128,36469
2018-12-30T00:00:00Z,145,38949
2018-12-30T00:00:00Z,146,42509
2018-12-30T00:00:00Z,142,70166
2018-12-30T00:00:00Z,144,15224
2018-12-30T00:00:00Z,102,30326
2018-12-30T00:00:00Z,101,20421
2018-12-30T00:00:00Z,130,20951
2018-12-30T00:00:00Z,129,16472
2018-12-30T00:00:00Z,C ROJA,173
2018-12-30T00:00:00Z,RINCÓN,52618
2018-12-30T00:00:00Z,35/9 V,61571
2018-12-30T00:00:00Z,VILLA CONS,1767
2019-01-06T00:00:00Z,107,116538
2019-01-06T00:00:00Z,315,112301
2019-01-06T00:00:00Z,440,516057
2019-01-06T00:00:00Z,740,179734
2019-01-06T00:00:00Z,PILAR 203,345438
2019-01-06T00:00:00Z,CN33/9,17173
2019-01-06T00:00:00Z,EXPRESO,106628
2019-01-06T00:00:00Z,CP25 A,25901
2019-01-06T00:00:00Z,C AZUL,18391
2019-01-06T00:00:00Z,35/9,76093
2019-01-06T00:00:00Z,LINEA A,74005
2019-01-06T00:00:00Z,MORENO 203,448205
2019-01-06T00:00:00Z,CP33/9,43776
2019-01-06T00:00:00Z,103,109143
2019-01-06T00:00:00Z,143,79479
2019-01-06T00:00:00Z,125,26172
2019-01-06T00:00:00Z,41,230841
2019-01-06T00:00:00Z,110,108925
2019-01-06T00:00:00Z,C NEGRA,22087
2019-01-06T00:00:00Z,128,61780
2019-01-06T00:00:00Z,145,66673
2019-01-06T00:00:00Z,146,73500
2019-01-06T00:00:00Z,142,120343
2019-01-06T00:00:00Z,144,27348
2019-01-06T00:00:00Z,102,54106
2019-01-06T00:00:00Z,101,35412
2019-01-06T00:00:00Z,130,36060
2019-01-06T00:00:00Z,129,29259
2019-01-06T00:00:00Z,RINCÓN,90821
2019-01-06T00:00:00Z,35/9 V,106988
2019-01-06T00:00:00Z,VILLA CONS,3565
2019-01-06T00:00:00Z,FABRICA,215
2019-01-06T00:00:00Z,C ROJA,357
2019-01-13T00:00:00Z,107,116771
2019-01-13T00:00:00Z,315,111165
2019-01-13T00:00:00Z,440,483170
2019-01-13T00:00:00Z,740,174639
2019-01-13T00:00:00Z,PILAR 203,336199
2019-01-13T00:00:00Z,CN33/9,17240
2019-01-13T00:00:00Z,EXPRESO,106301
2019-01-13T00:00:00Z,CP25 A,25124
2019-01-13T00:00:00Z,C AZUL,18006
2019-01-13T00:00:00Z,35/9,75974
2019-01-13T00:00:00Z,LINEA A,72175
2019-01-13T00:00:00Z,MORENO 203,436052
2019-01-13T00:00:00Z,CP33/9,43261
2019-01-13T00:00:00Z,103,108163
2019-01-13T00:00:00Z,143,81947
2019-01-13T00:00:00Z,125,24967
2019-01-13T00:00:00Z,41,224015
2019-01-13T00:00:00Z,110,108040
2019-01-13T00:00:00Z,C NEGRA,21710
2019-01-13T00:00:00Z,128,60458
2019-01-13T00:00:00Z,145,66177
2019-01-13T00:00:00Z,146,72427
2019-01-13T00:00:00Z,142,117849
2019-01-13T00:00:00Z,144,26760
2019-01-13T00:00:00Z,102,52868
2019-01-13T00:00:00Z,101,35894
2019-01-13T00:00:00Z,130,35851
2019-01-13T00:00:00Z,129,28185
2019-01-13T00:00:00Z,RINCÓN,92071
2019-01-13T00:00:00Z,35/9 V,105873
2019-01-13T00:00:00Z,VILLA CONS,3166
2019-01-13T00:00:00Z,FABRICA,213
2019-01-13T00:00:00Z,C ROJA,285
2019-01-20T00:00:00Z,107,108930
2019-01-20T00:00:00Z,315,109228
2019-01-20T00:00:00Z,440,457292
2019-01-20T00:00:00Z,740,170912
2019-01-20T00:00:00Z,PILAR 203,333199
2019-01-20T00:00:00Z,CN33/9,15751
2019-01-20T00:00:00Z,EXPRESO,101004
2019-01-20T00:00:00Z,CP25 A,24277
2019-01-20T00:00:00Z,C AZUL,16309
2019-01-20T00:00:00Z,35/9,76317
2019-01-20T00:00:00Z,LINEA A,71680
2019-01-20T00:00:00Z,MORENO 203,429672
2019-01-20T00:00:00Z,CP33/9,41256
2019-01-20T00:00:00Z,103,103412
2019-01-20T00:00:00Z,143,80314
2019-01-20T00:00:00Z,125,22928
2019-01-20T00:00:00Z,41,225954
2019-01-20T00:00:00Z,110,102991
2019-01-20T00:00:00Z,C NEGRA,19842
2019-01-20T00:00:00Z,128,58803
2019-01-20T00:00:00Z,145,63133
2019-01-20T00:00:00Z,146,68179
2019-01-20T00:00:00Z,142,113121
2019-01-20T00:00:00Z,144,25640
2019-01-20T00:00:00Z,102,50649
2019-01-20T00:00:00Z,101,34347
2019-01-20T00:00:00Z,130,35114
2019-01-20T00:00:00Z,129,25887
2019-01-20T00:00:00Z,RINCÓN,83578
2019-01-20T00:00:00Z,35/9 V,100458
2019-01-20T00:00:00Z,VILLA CONS,3073
2019-01-20T00:00:00Z,FABRICA,262
2019-01-20T00:00:00Z,C ROJA,288
2019-01-27T00:00:00Z,107,106922
2019-01-27T00:00:00Z,315,108649
2019-01-27T00:00:00Z,440,441402
2019-01-27T00:00:00Z,740,172894
2019-01-27T00:00:00Z,PILAR 203,334680
2019-01-27T00:00:00Z,CN33/9,15199
2019-01-27T00:00:00Z,EXPRESO,100799
2019-01-27T00:00:00Z,CP25 A,24532
2019-01-27T00:00:00Z,C AZUL,17233
2019-01-27T00:00:00Z,35/9,73865
2019-01-27T00:00:00Z,LINEA A,70748
2019-01-27T00:00:00Z,MORENO 203,433369
2019-01-27T00:00:00Z,CP33/9,41448
2019-01-27T00:00:00Z,103,103339
2019-01-27T00:00:00Z,143,80660
2019-01-27T00:00:00Z,125,22720
2019-01-27T00:00:00Z,41,229135
2019-01-27T00:00:00Z,110,101598
2019-01-27T00:00:00Z,C NEGRA,21155
2019-01-27T00:00:00Z,128,59417
2019-01-27T00:00:00Z,145,63252
2019-01-27T00:00:00Z,146,66070
2019-01-27T00:00:00Z,142,111866
2019-01-27T00:00:00Z,144,27791
2019-01-27T00:00:00Z,102,50856
2019-01-27T00:00:00Z,101,33596
2019-01-27T00:00:00Z,130,35135
2019-01-27T00:00:00Z,129,25161
2019-01-27T00:00:00Z,RINCÓN,86791
2019-01-27T00:00:00Z,35/9 V,98028
2019-01-27T00:00:00Z,VILLA CONS,2872
2019-01-27T00:00:00Z,FABRICA,231
2019-01-27T00:00:00Z,C ROJA,336
2019-02-03T00:00:00Z,107,124618
2019-02-03T00:00:00Z,315,119881
2019-02-03T00:00:00Z,440,492080
2019-02-03T00:00:00Z,740,185814
2019-02-03T00:00:00Z,PILAR 203,359927
2019-02-03T00:00:00Z,CN33/9,18088
2019-02-03T00:00:00Z,EXPRESO,115175
2019-02-03T00:00:00Z,CP25 A,28195
2019-02-03T00:00:00Z,C AZUL,19799
2019-02-03T00:00:00Z,35/9,82867
2019-02-03T00:00:00Z,LINEA A,81159
2019-02-03T00:00:00Z,MORENO 203,465791
2019-02-03T00:00:00Z,CP33/9,48861
2019-02-03T00:00:00Z,103,115266
2019-02-03T00:00:00Z,143,89685
2019-02-03T00:00:00Z,125,28130
2019-02-03T00:00:00Z,41,239403
2019-02-03T00:00:00Z,110,115462
2019-02-03T00:00:00Z,C NEGRA,24717
2019-02-03T00:00:00Z,128,66168
2019-02-03T00:00:00Z,145,70768
2019-02-03T00:00:00Z,146,77327
2019-02-03T00:00:00Z,142,128007
2019-02-03T00:00:00Z,144,32370
2019-02-03T00:00:00Z,102,59248
2019-02-03T00:00:00Z,101,40491
2019-02-03T00:00:00Z,130,39366
2019-02-03T00:00:00Z,129,28693
2019-02-03T00:00:00Z,RINCÓN,101691
2019-02-03T00:00:00Z,35/9 V,111139
2019-02-03T00:00:00Z,VILLA CONS,3286
2019-02-03T00:00:00Z,FABRICA,257
2019-02-03T00:00:00Z,C ROJA,371
2019-02-10T00:00:00Z,107,131407
2019-02-10T00:00:00Z,315,115622
2019-02-10T00:00:00Z,440,487375
2019-02-10T00:00:00Z,740,182273
2019-02-10T00:00:00Z,PILAR 203,352412
