FechaRecaudacion,Cantidad_Pasajeros
2021-09-30,153297
2021-10-01,163933
2021-10-02,71862
2021-10-03,41802
2021-10-04,159940
2021-10-05,170473
2021-10-06,171883
2021-10-07,116815
2021-10-08,64041
2021-10-09,79830
2021-10-10,38929
2021-10-11,44552
2021-10-12,168123
2021-10-13,122644
2021-10-14,169149
2021-10-15,173467
2021-10-16,91893
2021-10-17,45722
2021-10-18,163937
2021-10-19,169516
2021-10-20,155443
2021-10-21,154946
2021-10-22,164048
2021-10-23,84539
2021-10-24,47002
2021-10-25,165550
2021-10-26,167193
2021-10-27,161071
2021-10-28,168169
2021-10-29,164847
2021-10-30,83916
2021-10-31,42050
2021-11-01,140116
2021-11-02,169591
2021-11-03,174514
2021-11-04,171015
2021-11-05,169060
2021-11-06,90947
2021-11-07,46362
2021-11-08,170673
2021-11-09,173593
2021-11-10,178990
2021-11-11,178050
2021-11-12,178390
2021-11-13,83505
2021-11-14,8125
2021-11-15,128212
2021-11-16,163807
2021-11-17,180656
2021-11-18,179088
2021-11-19,188128
2021-11-20,75469
2021-11-21,45825
2021-11-22,43294
2021-11-23,174583
2021-11-24,173535
2021-11-25,158230
2021-11-26,147725
2021-11-27,85785
2021-11-28,36731
2021-11-29,166951
2021-11-30,167937
2021-12-01,165993
2021-12-02,166962
2021-12-03,155118
2021-12-04,89187
2021-12-05,44624
2021-12-06,159663
2021-12-07,167631
2021-12-08,62631
2021-12-09,163620
2021-12-10,161829
2021-12-11,92806
2021-12-12,37490
2021-12-13,158128
2021-12-14,154106
2021-12-15,167634
2021-12-16,168466
2021-12-17,171124
2021-12-18,102620
2021-12-19,47272
2021-12-20,159875
2021-12-21,160017
2021-12-22,158580
2021-12-23,149406
2021-12-24,69912
2021-12-25,20883
2021-12-26,34363
2021-12-27,116041
2021-12-28,119251
2021-12-29,120379
2021-12-30,115626
2021-12-31,57003
2022-01-01,15173
2022-01-02,30684
2022-01-03,101095
2022-01-04,99496
2022-01-05,107748
2022-01-06,102669
2022-01-07,101076
2022-01-08,62487
2022-01-09,32400
2022-01-10,93194
2022-01-11,92607
2022-01-12,91030
2022-01-13,90039
2022-01-14,92420
2022-01-15,56048
2022-01-16,30079
2022-01-17,96875
2022-01-18,106221
2022-01-19,108868
2022-01-20,104043
2022-01-21,103913
2022-01-22,67597
2022-01-23,34881
2022-01-24,107938
2022-01-25,105446
2022-01-26,109021
2022-01-27,113897
2022-01-28,116595
2022-01-29,73909
2022-01-30,40826
2022-01-31,111569
2022-02-01,117479
2022-02-02,111200
2022-02-03,115039
2022-02-04,121710
2022-02-05,77783
2022-02-06,42230
2022-02-07,124773
2022-02-08,129012
2022-02-09,130540
2022-02-10,127025
2022-02-11,122506
2022-02-12,82091
2022-02-13,45358
2022-02-14,131233
2022-02-15,130869
2022-02-16,128620
2022-02-17,135125
2022-02-18,137686
2022-02-19,80824
2022-02-20,42608
2022-02-21,132583
2022-02-22,134228
2022-02-23,137001
2022-02-24,124666
2022-02-25,140177
2022-02-26,77993
2022-02-27,34139
2022-02-28,44610
2022-03-01,48518
2022-03-02,145317
2022-03-03,148566
2022-03-04,165091
2022-03-05,67060
2022-03-06,42970
2022-03-07,166306
2022-03-08,119082
2022-03-09,120044
2022-03-10,184174
2022-03-11,185412
2022-03-12,94909
2022-03-13,50028
2022-03-14,184268
2022-03-15,188677
2022-03-16,189304
2022-03-17,183994
2022-03-18,161806
2022-03-19,93747
2022-03-20,43264
2022-03-21,186321
2022-03-22,187556
2022-03-23,187837
2022-03-24,34426
2022-03-25,172566
2022-03-26,87789
2022-03-27,48502
2022-03-28,190621
2022-03-29,178135
2022-03-30,191792
2022-03-31,190843
2022-04-01,187850
2022-04-02,67727
2022-04-03,42743
2022-04-04,189842
2022-04-05,198421
2022-04-06,200141
2022-04-07,197800
2022-04-08,200295
2022-04-09,98132
2022-04-10,44322
2022-04-11,184123
2022-04-12,211016
2022-04-13,213261
2022-04-14,97929
2022-04-15,50474
2022-04-16,81694
2022-04-17,46091
2022-04-18,199519
2022-04-19,210078
2022-04-20,206803
2022-04-21,204256
2022-04-22,186807
2022-04-23,98490
2022-04-24,51411
2022-04-25,202735
2022-04-26,25937
2022-04-27,192341
2022-04-28,200760
2022-04-29,196337
2022-04-30,87705
2022-05-01,42541
2022-05-02,204656
2022-05-03,212756
2022-05-04,214210
2022-05-05,218446
2022-05-06,223349
2022-05-07,114063
2022-05-08,57477
2022-05-09,224606
2022-05-10,221531
2022-05-11,226331
2022-05-12,218920
2022-05-13,221619
2022-05-14,110176
2022-05-15,54725
2022-05-16,236459
2022-05-18,28500
2022-05-19,221112
2022-05-20,247391
2022-05-21,119432
2022-05-22,61272
2022-05-23,244799
2022-05-24,241601
2022-05-25,44801
2022-05-26,239485
2022-05-27,245995
2022-05-28,109631
2022-05-29,52765
2022-05-30,241466
2022-05-31,241935
2022-06-01,237525
2022-06-02,242304
2022-06-03,225346
2022-06-04,118829
2022-06-05,60145
2022-06-06,246922
2022-06-07,242986
2022-06-08,238004
2022-06-09,246295
2022-06-10,247620
2022-06-11,123109
2022-06-12,64901
2022-06-13,243866
2022-06-14,249758
2022-06-15,264774
2022-06-16,269560
2022-06-17,86667
2022-06-18,114740
2022-06-19,59829
2022-06-20,38831
2022-06-21,246615
2022-06-22,249504
2022-06-23,234988
2022-06-24,240948
2022-06-25,119758
2022-06-26,53250
2022-06-27,224720
2022-06-28,231366
2022-06-29,251830
2022-06-30,248874
2022-07-01,244214
2022-07-02,123117
2022-07-03,60752
2022-07-04,239910
2022-07-05,242820
2022-07-06,236670
2022-07-07,235904
2022-07-08,233304
2022-07-09,92282
2022-07-10,60891
2022-07-11,176946
2022-07-12,189807
2022-07-13,193937
2022-07-14,189140
2022-07-15,188984
2022-07-16,100658
2022-07-17,66600
2022-07-18,184901
2022-07-19,189906
2022-07-20,202461
2022-07-21,175164
2022-07-22,195468
2022-07-23,123882
2022-07-24,65963
2022-07-25,223192
2022-07-26,235133
2022-07-27,236084
2022-07-28,238217
2022-07-29,237410
2022-07-30,122896
2022-07-31,69004
2022-08-01,238623
2022-08-02,200857
2022-08-03,202133
2022-08-04,221684
2022-08-05,250632
2022-08-06,124252
2022-08-07,74078
2022-08-08,238145
2022-08-09,251691
2022-08-10,224353
2022-08-11,220139
2022-08-12,238463
2022-08-13,128986
2022-08-14,77043
2022-08-15,61622
2022-08-16,257290
2022-08-17,258934
2022-08-18,235231
2022-08-19,221979
2022-08-20,131587
2022-08-21,75654
2022-08-22,249916
2022-08-23,217295
2022-08-24,214930
2022-08-25,207167
2022-08-26,235189
2022-08-27,116128
2022-08-28,66093
2022-08-29,247116
2022-08-30,211607
2022-08-31,215351
2022-09-01,205470
2022-09-02,127420
2022-09-03,130543
2022-09-04,70799
2022-09-05,259274
2022-09-06,265629
2022-09-07,267490
2022-09-08,266717
2022-09-09,261935
2022-09-10,137263
2022-09-11,70902
2022-09-12,255511
2022-09-13,264774
2022-09-14,267976
2022-09-15,270441
2022-09-16,269321
2022-09-17,134493
2022-09-18,54494
2022-09-19,244990
2022-09-20,227442
2022-09-21,215033
2022-09-22,244588
2022-09-23,265504
2022-09-24,133986
2022-09-25,73816
2022-09-26,233852
2022-09-27,240208
2022-09-28,239235
2022-09-29,236407
2022-09-30,260918
2022-10-01,132458
2022-10-02,71836
2022-10-03,248502
2022-10-04,269212
2022-10-05,264797
2022-10-06,270609
2022-10-07,105915
2022-10-08,114750
2022-10-09,71244
2022-10-10,69026
2022-10-11,274310
2022-10-14,267292
2022-10-15,115249
2022-10-16,67234
2022-10-17,254687
2022-10-18,260234
2022-10-19,262049
2022-10-20,254302
2022-10-21,267311
2022-10-22,125160
2022-10-23,71829
2022-10-24,264508
2022-10-25,240277
2022-10-26,243661
2022-10-27,255434
2022-10-28,255712
2022-10-29,124190
2022-10-30,51215
2022-10-31,247129
2022-11-01,256911
2022-11-02,260553
2022-11-03,258214
2022-11-04,265417
2022-11-05,133278
2022-11-06,70369
2022-11-07,256386
2022-11-08,262350
2022-11-09,264556
2022-11-10,243034
2022-11-11,269159
2022-11-12,122922
2022-11-13,49751
2022-11-14,261757
2022-11-15,216159
2022-11-16,264827
2022-11-17,260169
2022-11-18,269086
2022-11-19,128020
