"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2023","19,631.14","19,627.43","19,730.24","19,627.43","","0.02%"
"11/03/2023","19,627.43","19,128.26","19,683.79","19,128.26","","2.62%"
"11/01/2023","19,126.53","18,836.92","19,193.21","18,836.92","","1.55%"
"10/31/2023","18,834.53","18,745.67","18,917.48","18,671.93","","0.48%"
"10/30/2023","18,745.12","18,864.74","19,017.89","18,706.30","","-0.63%"
"10/27/2023","18,864.41","19,086.59","19,186.71","18,801.43","","-1.16%"
"10/26/2023","19,086.59","18,790.59","19,103.79","18,790.32","","1.59%"
"10/25/2023","18,788.74","18,940.65","19,042.58","18,760.66","","-0.80%"
"10/24/2023","18,940.65","18,777.89","19,025.96","18,777.89","","0.90%"
"10/23/2023","18,772.49","18,891.55","18,928.43","18,696.95","","-0.64%"
"10/20/2023","18,893.48","19,041.75","19,070.34","18,780.71","","-0.79%"
"10/19/2023","19,043.23","19,064.99","19,209.88","19,008.30","","-0.11%"
"10/18/2023","19,065.02","19,351.74","19,351.78","19,048.39","","-1.48%"
"10/17/2023","19,351.74","19,417.82","19,505.45","19,265.17","","-0.35%"
"10/16/2023","19,419.19","19,293.23","19,474.75","19,292.11","","0.66%"
"10/13/2023","19,292.15","19,470.34","19,504.66","19,275.49","","-0.92%"
"10/11/2023","19,470.81","19,422.35","19,476.50","19,323.20","","0.25%"
"10/10/2023","19,422.35","19,180.03","19,452.14","19,179.20","","1.27%"
"10/09/2023","19,178.71","19,011.47","19,198.95","18,916.86","","0.88%"
"10/06/2023","19,012.24","18,828.94","19,075.99","18,580.03","","0.96%"
"10/05/2023","18,831.74","18,885.78","18,998.79","18,738.43","","-0.28%"
"10/04/2023","18,885.54","18,894.72","18,961.62","18,803.58","","-0.04%"
"10/03/2023","18,892.69","19,162.28","19,162.42","18,847.00","","-1.41%"
"10/02/2023","19,162.65","19,415.09","19,434.19","19,109.55","","-1.30%"
"09/29/2023","19,415.09","19,275.39","19,460.88","19,275.39","","0.74%"
"09/28/2023","19,273.27","19,050.83","19,313.35","19,024.48","","1.17%"
"09/27/2023","19,050.73","18,999.09","19,192.22","18,892.26","","0.27%"
"09/26/2023","18,999.09","19,285.41","19,285.41","18,997.21","","-1.49%"
"09/25/2023","19,286.52","19,300.21","19,304.57","19,230.85","","-0.07%"
"09/22/2023","19,300.21","19,309.56","19,452.86","19,273.39","","-0.05%"
"09/21/2023","19,309.20","19,728.29","19,728.29","19,288.64","","-2.12%"
"09/20/2023","19,728.34","19,589.67","19,881.53","19,587.27","","0.72%"
"09/19/2023","19,586.37","19,644.99","19,694.48","19,554.13","","-0.30%"
"09/18/2023","19,644.99","19,728.04","19,848.72","19,615.47","","-0.42%"
"09/15/2023","19,727.83","19,835.74","19,903.60","19,715.14","","-0.55%"
"09/14/2023","19,836.35","19,616.77","19,897.44","19,616.77","","1.12%"
"09/13/2023","19,615.81","19,582.91","19,802.47","19,547.45","","0.17%"
"09/12/2023","19,582.91","19,409.50","19,615.96","19,409.29","","0.90%"
"09/11/2023","19,409.19","19,157.48","19,455.06","19,157.48","","1.32%"
"09/08/2023","19,156.38","19,282.09","19,282.09","19,085.95","","-0.66%"
"09/06/2023","19,283.18","19,501.38","19,611.41","19,282.85","","-1.11%"
"09/05/2023","19,500.45","19,530.74","19,603.94","19,364.45","","-0.16%"
"09/04/2023","19,531.60","19,562.98","19,672.22","19,502.11","","-0.16%"
"09/01/2023","19,562.99","19,183.97","19,582.09","19,183.22","","1.99%"
"08/31/2023","19,182.16","19,459.02","19,483.13","19,182.16","","-1.42%"
"08/30/2023","19,458.60","19,597.84","19,674.68","19,447.46","","-0.71%"
"08/29/2023","19,597.74","19,384.98","19,619.46","19,384.98","","1.10%"
"08/28/2023","19,384.49","19,155.30","19,408.32","19,155.24","","1.20%"
"08/25/2023","19,155.09","19,350.45","19,392.41","19,081.81","","-1.01%"
"08/24/2023","19,350.56","19,537.88","19,537.88","19,321.30","","-0.95%"
"08/23/2023","19,536.65","19,186.03","19,536.65","19,185.68","","1.83%"
"08/22/2023","19,185.37","18,896.67","19,207.77","18,896.67","","1.53%"
"08/21/2023","18,895.94","19,042.86","19,059.57","18,833.64","","-0.78%"
"08/18/2023","19,043.72","18,985.02","19,097.27","18,895.20","","0.30%"
"08/17/2023","18,986.64","19,079.91","19,268.61","18,966.77","","-0.48%"
"08/16/2023","19,077.32","19,165.53","19,369.74","19,071.24","","-0.46%"
"08/15/2023","19,165.55","19,272.58","19,429.53","19,144.16","","-0.56%"
"08/14/2023","19,272.70","19,473.18","19,477.39","19,228.33","","-1.03%"
"08/11/2023","19,472.93","19,530.20","19,642.94","19,365.61","","-0.29%"
"08/10/2023","19,529.73","19,549.26","19,723.32","19,492.09","","-0.10%"
"08/09/2023","19,548.77","19,645.77","19,646.14","19,467.50","","-0.49%"
"08/08/2023","19,645.77","19,698.11","19,720.19","19,392.84","","-0.28%"
"08/07/2023","19,700.81","19,710.99","19,817.74","19,616.82","","-0.05%"
"08/04/2023","19,710.53","19,898.12","20,029.80","19,662.90","","-0.94%"
"08/03/2023","19,898.12","19,924.80","20,211.52","19,863.93","","-0.13%"
"08/02/2023","19,924.46","20,000.76","20,001.02","19,747.76","","-0.38%"
"08/01/2023","20,000.60","20,140.12","20,141.10","19,817.01","","-0.69%"
"07/31/2023","20,139.82","19,821.20","20,173.21","19,821.20","","1.61%"
"07/28/2023","19,821.09","19,810.05","19,910.65","19,749.54","","0.07%"
"07/27/2023","19,807.76","20,243.45","20,247.29","19,780.76","","-2.15%"
"07/26/2023","20,243.45","20,170.96","20,274.44","20,041.41","","0.36%"
"07/25/2023","20,170.96","20,046.64","20,317.81","20,046.64","","0.62%"
"07/24/2023","20,046.30","19,837.14","20,114.27","19,832.98","","1.06%"
"07/21/2023","19,836.63","19,486.30","19,870.38","19,486.30","","1.80%"
"07/20/2023","19,486.33","19,387.11","19,521.66","19,383.51","","0.52%"
"07/19/2023","19,385.96","19,412.24","19,456.25","19,235.46","","-0.14%"
"07/18/2023","19,412.24","19,480.18","19,570.36","19,335.37","","-0.35%"
"07/17/2023","19,480.18","19,403.49","19,491.23","19,202.51","","0.40%"
"07/14/2023","19,403.49","19,662.44","19,671.57","19,375.04","","-1.31%"
"07/13/2023","19,661.51","19,377.13","19,725.77","19,377.13","","1.47%"
"07/12/2023","19,376.76","19,342.63","19,621.01","19,342.63","","0.18%"
"07/11/2023","19,342.34","19,386.78","19,386.78","19,049.17","","-0.23%"
"07/10/2023","19,386.75","19,551.04","19,552.02","19,367.78","","-0.85%"
"07/07/2023","19,552.11","19,323.83","19,655.82","19,323.83","","1.18%"
"07/06/2023","19,323.60","19,672.80","19,673.06","19,269.85","","-1.78%"
"07/05/2023","19,673.02","19,599.57","19,781.33","19,541.71","","0.37%"
"07/04/2023","19,600.36","19,711.26","19,711.26","19,567.88","","-0.56%"
"07/03/2023","19,711.35","19,422.42","19,737.00","19,422.42","","1.49%"
"06/30/2023","19,421.51","19,508.83","19,674.09","19,421.51","","-0.44%"
"06/29/2023","19,507.95","19,247.46","19,545.23","19,246.63","","1.35%"
"06/28/2023","19,247.46","19,402.87","19,456.47","19,227.29","","-0.80%"
"06/27/2023","19,402.63","19,505.24","19,663.99","19,245.75","","-0.53%"
"06/26/2023","19,505.10","19,600.29","19,632.36","19,380.75","","-0.49%"
"06/23/2023","19,601.94","19,643.73","19,670.05","19,478.65","","-0.19%"
"06/22/2023","19,639.23","19,869.96","19,869.96","19,486.63","","-1.16%"
"06/21/2023","19,870.03","19,731.34","19,887.54","19,686.83","","0.70%"
"06/20/2023","19,731.21","19,800.27","19,800.75","19,533.45","","-0.35%"
"06/19/2023","19,800.27","19,620.07","19,817.52","19,583.46","","0.92%"
"06/16/2023","19,620.37","19,681.80","19,746.12","19,564.73","","-0.32%"
"06/15/2023","19,684.10","19,671.28","19,780.14","19,597.06","","0.06%"
"06/14/2023","19,671.92","19,292.76","19,676.35","19,292.55","","1.98%"
"06/13/2023","19,290.75","19,362.21","19,465.11","19,221.06","","-0.36%"
"06/12/2023","19,361.12","19,311.29","19,422.03","19,243.21","","0.26%"
"06/09/2023","19,310.68","19,054.08","19,406.81","19,054.08","","1.35%"
"06/07/2023","19,053.95","18,890.94","19,116.38","18,890.94","","0.87%"
"06/06/2023","18,889.36","18,598.87","18,915.99","18,598.87","","1.58%"
"06/05/2023","18,595.90","18,575.09","18,669.94","18,439.76","","0.12%"
"06/02/2023","18,574.04","18,230.98","18,652.42","18,230.98","","1.89%"
"06/01/2023","18,228.63","17,855.51","18,261.50","17,854.68","","2.09%"
"05/31/2023","17,854.77","17,956.60","17,989.35","17,817.54","","-0.56%"
"05/30/2023","17,955.42","18,194.72","18,343.91","17,882.21","","-1.30%"
"05/29/2023","18,192.76","18,307.36","18,351.56","18,177.10","","-0.61%"
"05/26/2023","18,304.31","18,150.02","18,440.02","18,142.95","","0.87%"
"05/25/2023","18,146.19","17,954.43","18,319.89","17,954.43","","1.08%"
"05/24/2023","17,952.19","18,139.32","18,139.32","17,911.67","","-1.04%"
"05/23/2023","18,141.16","18,182.52","18,362.94","18,103.68","","-0.23%"
"05/22/2023","18,182.62","18,288.55","18,429.40","18,175.22","","-0.58%"
"05/19/2023","18,288.55","18,196.44","18,360.93","18,142.88","","0.52%"
"05/18/2023","18,194.59","18,097.28","18,212.42","17,980.44","","0.54%"
"05/17/2023","18,097.43","17,890.47","18,150.91","17,890.47","","1.18%"
"05/16/2023","17,886.80","18,015.63","18,214.68","17,869.30","","-0.71%"
"05/15/2023","18,015.56","17,921.86","18,056.18","17,912.20","","0.53%"
"05/12/2023","17,920.91","17,866.77","17,986.13","17,753.10","","0.29%"
"05/11/2023","17,868.59","17,745.50","17,940.31","17,563.10","","0.70%"
"05/10/2023","17,745.00","17,718.56","17,793.80","17,608.15","","0.15%"
"05/09/2023","17,718.56","17,533.44","17,818.77","17,455.54","","1.04%"
"05/08/2023","17,536.10","17,388.89","17,653.83","17,388.89","","0.86%"
"05/05/2023","17,386.60","16,898.58","17,408.83","16,898.58","","2.90%"
"05/04/2023","16,896.79","16,869.74","17,107.02","16,720.07","","0.16%"
"05/03/2023","16,869.59","16,898.94","16,965.84","16,820.73","","-0.17%"
"05/02/2023","16,898.94","17,346.86","17,353.33","16,847.44","","-2.59%"
"04/28/2023","17,348.12","17,111.12","17,357.70","17,024.91","","1.39%"
"04/27/2023","17,109.89","17,005.23","17,165.32","16,939.43","","0.62%"
"04/26/2023","17,005.23","17,153.38","17,235.04","17,002.73","","-0.86%"
"04/25/2023","17,153.32","17,296.12","17,296.26","17,058.82","","-0.83%"
"04/24/2023","17,296.19","17,396.22","17,446.16","17,189.35","","-0.58%"
"04/20/2023","17,396.22","17,352.41","17,461.25","17,208.39","","0.28%"
"04/19/2023","17,348.21","17,742.72","17,742.72","17,285.78","","-2.24%"
"04/18/2023","17,745.63","17,693.05","17,794.45","17,551.58","","0.30%"
"04/17/2023","17,691.81","17,742.41","17,856.51","17,629.69","","-0.29%"
"04/14/2023","17,742.41","17,775.39","17,809.86","17,522.86","","-0.19%"
"04/13/2023","17,775.89","17,884.34","17,888.28","17,731.72","","-0.61%"
"04/12/2023","17,884.24","17,800.16","18,113.04","17,798.38","","0.48%"
"04/11/2023","17,799.41","17,037.21","17,843.06","17,037.21","","4.48%"
"04/10/2023","17,036.11","16,843.62","17,085.85","16,841.48","","1.14%"
"04/06/2023","16,843.95","16,890.32","17,004.03","16,791.60","","-0.28%"
"04/05/2023","16,890.57","17,048.10","17,055.26","16,709.47","","-0.92%"
"04/04/2023","17,048.15","17,031.82","17,265.01","17,031.82","","0.10%"
"04/03/2023","17,031.00","17,067.67","17,079.63","16,883.01","","-0.22%"
"03/31/2023","17,067.78","17,395.73","17,443.36","17,007.71","","-1.88%"
"03/30/2023","17,395.52","17,096.06","17,451.55","17,096.06","","1.84%"
"03/29/2023","17,081.55","16,957.44","17,149.41","16,831.52","","0.73%"
"03/28/2023","16,957.48","16,703.86","17,022.31","16,693.25","","1.51%"
"03/27/2023","16,704.74","16,562.05","16,772.69","16,562.05","","0.87%"
"03/24/2023","16,561.36","16,444.44","16,628.58","16,380.12","","0.71%"
"03/23/2023","16,444.16","16,843.45","16,992.80","16,292.17","","-2.36%"
"03/22/2023","16,842.32","16,986.20","17,115.61","16,828.38","","-0.85%"
"03/21/2023","16,987.11","16,977.38","17,103.70","16,963.62","","0.06%"
"03/20/2023","16,976.80","17,130.79","17,191.08","16,934.58","","-0.90%"
"03/17/2023","17,130.79","17,341.80","17,341.80","17,082.94","","-1.22%"
"03/16/2023","17,342.24","17,200.33","17,419.00","17,169.33","","0.83%"
"03/15/2023","17,199.02","17,292.47","17,292.67","16,885.07","","-0.55%"
"03/14/2023","17,293.64","17,320.72","17,485.99","17,214.98","","-0.16%"
"03/13/2023","17,321.10","17,408.77","17,460.91","17,183.00","","-0.51%"
"03/10/2023","17,410.62","17,644.60","17,644.77","17,342.76","","-1.33%"
"03/09/2023","17,644.67","17,909.83","17,935.59","17,641.42","","-1.48%"
"03/08/2023","17,909.91","17,539.85","17,951.33","17,539.85","","2.11%"
"03/07/2023","17,539.85","17,647.66","17,722.83","17,421.96","","-0.61%"
"03/06/2023","17,647.37","17,563.13","17,736.57","17,417.24","","0.48%"
"03/03/2023","17,563.37","17,461.56","17,651.56","17,461.56","","0.58%"
"03/02/2023","17,461.56","17,647.88","17,722.49","17,460.32","","-1.07%"
"03/01/2023","17,649.66","17,687.78","17,817.73","17,431.54","","-0.21%"
"02/28/2023","17,687.56","17,814.31","17,996.13","17,687.56","","-0.72%"
"02/27/2023","17,815.26","17,830.00","17,931.52","17,731.64","","-0.07%"
"02/24/2023","17,828.41","18,146.69","18,147.36","17,760.12","","-1.76%"
"02/23/2023","18,148.70","18,067.50","18,326.88","17,989.74","","0.45%"
"02/22/2023","18,067.50","18,403.49","18,403.50","18,000.20","","-1.83%"
"02/17/2023","18,403.54","18,562.08","18,562.08","18,392.31","","-0.86%"
"02/16/2023","18,562.46","18,504.09","18,642.92","18,318.30","","0.31%"
"02/15/2023","18,504.49","18,206.34","18,600.35","18,112.73","","1.64%"
"02/14/2023","18,206.34","18,354.01","18,480.39","18,158.75","","-0.80%"
"02/13/2023","18,353.64","18,231.85","18,415.98","18,112.40","","0.66%"
"02/10/2023","18,232.60","18,235.42","18,332.31","18,149.81","","-0.02%"
"02/09/2023","18,236.60","18,522.86","18,553.19","18,193.66","","-1.54%"
"02/08/2023","18,522.77","18,172.26","18,558.41","18,172.26","","1.94%"
"02/07/2023","18,170.70","18,301.19","18,344.60","18,061.97","","-0.71%"
"02/06/2023","18,300.25","18,277.86","18,302.74","18,069.97","","0.12%"
"02/03/2023","18,278.92","18,513.11","18,617.33","18,221.40","","-1.26%"
"02/02/2023","18,513.11","18,893.29","19,008.22","18,449.04","","-2.02%"
"02/01/2023","18,893.89","19,130.21","19,141.09","18,647.09","","-1.24%"
"01/31/2023","19,130.38","18,970.75","19,178.20","18,934.46","","0.84%"
"01/30/2023","18,970.75","18,986.55","19,087.24","18,891.20","","-0.08%"
"01/27/2023","18,986.05","19,327.74","19,330.26","18,940.61","","-1.77%"
"01/26/2023","19,327.62","19,329.40","19,418.19","19,217.07","","-0.01%"
"01/25/2023","19,329.19","19,112.31","19,356.03","18,925.92","","1.13%"
"01/24/2023","19,112.33","18,904.47","19,112.33","18,873.54","","1.11%"
"01/23/2023","18,902.88","18,942.23","19,124.17","18,870.41","","-0.21%"
"01/20/2023","18,942.23","19,064.96","19,093.06","18,873.43","","-0.65%"
"01/19/2023","19,066.54","18,937.89","19,112.11","18,802.73","","0.67%"
"01/18/2023","18,939.52","18,816.58","19,120.67","18,816.58","","0.66%"
"01/17/2023","18,815.21","18,442.61","18,838.27","18,442.61","","2.02%"
"01/16/2023","18,442.41","18,744.20","18,744.20","18,355.54","","-1.62%"
"01/13/2023","18,745.68","18,877.02","18,877.02","18,656.58","","-0.70%"
"01/12/2023","18,877.86","18,982.68","19,072.61","18,732.98","","-0.55%"
"01/11/2023","18,982.68","18,726.13","18,983.93","18,717.90","","1.37%"
"01/10/2023","18,726.38","18,460.69","18,790.34","18,361.84","","1.44%"
"01/09/2023","18,460.69","18,424.48","18,588.18","18,288.88","","0.19%"
"01/06/2023","18,425.59","18,214.05","18,502.58","18,214.05","","1.19%"
"01/05/2023","18,209.40","17,802.09","18,239.61","17,801.34","","2.29%"
"01/04/2023","17,800.98","17,627.95","17,851.57","17,559.66","","0.98%"
"01/03/2023","17,627.70","17,978.44","18,032.73","17,575.65","","-1.95%"
"01/02/2023","17,978.29","18,504.38","18,504.43","17,908.40","","-2.84%"
"12/29/2022","18,504.38","18,598.92","18,750.63","18,485.50","","-0.50%"
"12/28/2022","18,597.86","18,349.55","18,650.29","18,349.55","","1.36%"
"12/27/2022","18,347.44","18,366.71","18,467.83","18,147.20","","-0.10%"
"12/26/2022","18,366.41","18,503.78","18,523.93","18,295.02","","-0.74%"
"12/23/2022","18,503.94","18,123.92","18,540.43","18,123.92","","2.10%"
"12/22/2022","18,123.20","18,113.13","18,264.37","17,949.34","","0.06%"
"12/21/2022","18,112.53","18,002.51","18,212.47","17,887.93","","0.61%"
"12/20/2022","18,002.17","17,656.20","18,154.18","17,644.49","","1.96%"
"12/19/2022","17,656.29","17,342.63","17,718.89","17,319.42","","1.81%"
"12/16/2022","17,341.84","17,486.25","17,533.35","17,217.57","","-0.83%"
"12/15/2022","17,486.34","17,476.26","17,784.48","17,356.15","","0.04%"
"12/14/2022","17,478.65","17,503.77","17,605.84","17,159.96","","-0.15%"
"12/13/2022","17,504.45","17,793.36","18,017.47","17,481.96","","-1.62%"
"12/12/2022","17,793.02","18,169.79","18,169.79","17,523.03","","-2.07%"
"12/09/2022","18,170.04","18,110.90","18,347.00","18,103.28","","0.33%"
"12/08/2022","18,110.68","18,399.38","18,460.85","18,056.96","","-1.57%"
"12/07/2022","18,399.63","18,626.30","18,630.42","18,335.42","","-1.23%"
"12/06/2022","18,627.94","18,481.67","18,722.19","18,468.75","","0.79%"
"12/05/2022","18,481.36","18,877.19","18,924.59","18,459.52","","-2.10%"
"12/02/2022","18,877.55","18,720.45","19,196.83","18,538.34","","0.86%"
"12/01/2022","18,716.00","18,988.86","18,990.84","18,651.21","","-1.44%"
"11/30/2022","18,988.86","18,695.03","18,988.86","18,600.00","","1.57%"
"11/29/2022","18,695.11","18,307.48","18,913.50","18,307.34","","2.12%"
"11/28/2022","18,307.23","18,317.64","18,422.14","18,204.10","","-0.06%"
"11/25/2022","18,317.59","18,788.11","18,831.15","18,247.92","","-2.55%"
"11/24/2022","18,796.03","18,299.93","18,940.03","18,299.51","","2.71%"
"11/23/2022","18,299.51","18,307.83","18,367.58","18,138.44","","-0.05%"
"11/22/2022","18,308.57","18,420.35","18,488.50","18,100.81","","-0.61%"
