"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2023","52,012.75","51,127.32","52,016.21","51,127.32","7.97M","1.46%"
"11/03/2023","51,266.73","50,654.11","51,926.51","50,296.41","235.38M","2.97%"
"11/01/2023","49,787.84","49,051.92","49,899.42","48,976.86","164.93M","1.48%"
"10/31/2023","49,061.88","49,259.00","49,262.18","48,807.35","302.06M","-0.44%"
"10/30/2023","49,277.36","48,963.47","49,465.89","48,963.47","190.86M","0.62%"
"10/27/2023","48,973.85","49,156.50","49,606.65","48,915.24","231.12M","-0.41%"
"10/26/2023","49,173.43","48,735.82","49,320.71","48,629.27","195.35M","0.83%"
"10/25/2023","48,766.33","48,252.47","48,816.55","48,232.24","181.75M","1.01%"
"10/24/2023","48,278.80","48,304.40","48,559.42","48,205.72","158.36M","0.17%"
"10/23/2023","48,197.88","48,290.33","48,367.76","47,765.06","160.98M","-0.16%"
"10/20/2023","48,275.91","48,809.12","48,885.86","48,230.56","214.76M","-1.08%"
"10/19/2023","48,804.61","49,257.05","49,306.81","48,758.19","254.33M","-0.95%"
"10/18/2023","49,274.78","49,543.90","49,670.65","49,011.38","339.28M","-0.79%"
"10/17/2023","49,666.01","49,733.54","49,832.13","49,512.88","192.51M","-0.32%"
"10/16/2023","49,823.08","49,459.33","50,001.34","49,401.52","131.15M","0.90%"
"10/13/2023","49,379.58","49,769.89","49,819.97","49,185.77","211.55M","-0.73%"
"10/12/2023","49,745.16","50,156.92","50,156.92","49,506.75","231.17M","-1.19%"
"10/11/2023","50,344.74","50,293.37","50,416.72","50,109.02","229.69M","0.11%"
"10/10/2023","50,289.86","49,301.65","50,422.90","49,301.65","200.85M","2.01%"
"10/09/2023","49,297.15","49,658.39","49,658.39","49,020.25","158.32M","-0.74%"
"10/06/2023","49,666.50","49,472.95","49,821.55","48,775.95","182.62M","0.43%"
"10/05/2023","49,454.59","50,444.75","50,444.75","48,484.91","273.44M","-2.52%"
"10/04/2023","50,732.69","50,407.93","50,776.97","50,159.62","234.53M","0.73%"
"10/03/2023","50,366.39","51,210.63","51,305.93","50,256.86","242.15M","-1.74%"
"10/02/2023","51,260.37","51,001.79","51,281.34","50,492.66","152.60M","0.76%"
"09/29/2023","50,874.98","51,575.24","51,658.01","50,792.42","226.96M","-1.32%"
"09/28/2023","51,554.95","51,386.23","51,743.87","51,362.29","204.51M","0.25%"
"09/27/2023","51,427.27","51,180.98","51,575.57","51,180.98","237.89M","0.63%"
"09/26/2023","51,107.80","51,410.42","51,422.45","51,069.77","213.72M","-0.51%"
"09/25/2023","51,367.46","51,684.61","51,848.51","51,329.65","240.42M","-0.60%"
"09/22/2023","51,677.48","51,946.17","52,034.44","51,650.51","172.81M","-0.53%"
"09/21/2023","51,954.01","52,429.38","52,429.38","51,886.19","194.91M","-1.05%"
"09/20/2023","52,507.23","52,226.77","52,903.91","52,124.53","233.18M","0.55%"
"09/19/2023","52,219.76","51,692.24","52,327.88","51,507.85","210.62M","1.03%"
"09/18/2023","51,685.31","51,452.59","51,725.06","50,962.64","150.53M","0.65%"
"09/15/2023","51,351.60","51,737.62","51,737.62","51,110.83","998.19M","-0.78%"
"09/14/2023","51,755.68","51,519.91","51,873.24","51,519.38","205.58M","0.45%"
"09/13/2023","51,522.18","51,832.63","51,867.30","51,352.16","267.09M","-0.65%"
"09/12/2023","51,860.45","52,227.06","52,310.13","51,814.24","220.83M","-0.78%"
"09/11/2023","52,267.49","52,549.58","52,748.51","52,240.85","166.61M","-0.45%"
"09/08/2023","52,505.11","52,312.55","52,604.76","52,211.02","204.70M","0.04%"
"09/07/2023","52,482.97","52,908.89","52,908.89","52,454.45","169.52M","-0.92%"
"09/06/2023","52,971.19","52,930.21","53,107.14","52,710.32","220.56M","0.07%"
"09/05/2023","52,932.50","53,057.61","53,227.67","52,818.65","212.43M","-0.18%"
"09/04/2023","53,030.52","53,161.61","53,317.40","52,985.86","48.50M","-0.22%"
"09/01/2023","53,145.36","53,483.35","53,493.14","53,011.20","129.62M","0.23%"
"08/31/2023","53,020.98","54,375.84","54,375.84","52,878.63","2.34B","-2.52%"
"08/30/2023","54,390.74","54,262.82","54,603.47","54,158.96","310.30M","0.24%"
"08/29/2023","54,261.33","53,472.63","54,320.91","53,342.20","217.47M","1.53%"
"08/28/2023","53,442.64","53,193.85","53,770.67","53,193.85","169.20M","0.47%"
"08/25/2023","53,191.53","52,995.65","53,458.28","52,882.21","185.12M","0.15%"
"08/24/2023","53,109.83","53,617.67","53,700.38","52,882.58","218.95M","-0.98%"
"08/23/2023","53,635.34","53,136.60","53,782.45","53,100.06","217.80M","0.96%"
"08/22/2023","53,127.93","53,163.62","53,204.80","52,935.42","208.22M","0.03%"
"08/21/2023","53,109.76","53,286.21","53,301.13","52,683.06","186.73M","-0.16%"
"08/18/2023","53,194.39","53,134.69","53,291.81","52,610.14","160.17M","-0.01%"
"08/17/2023","53,201.44","53,891.72","53,966.43","53,177.66","290.46M","-1.16%"
"08/16/2023","53,827.71","53,520.42","53,952.98","53,488.85","334.27M","0.48%"
"08/15/2023","53,568.32","53,222.15","53,732.41","53,116.60","236.90M","0.54%"
