"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2023","637,284.13","654,094.88","671,101.19","630,296.19","","-2.57%"
"11/02/2023","654,094.88","616,255.38","655,337.19","616,255.38","","6.14%"
"11/01/2023","616,255.38","579,150.00","620,553.88","579,150.00","","6.41%"
"10/31/2023","579,150.00","591,691.81","603,748.94","568,623.75","","-2.12%"
"10/30/2023","591,691.81","655,565.19","663,876.50","590,102.25","","-9.74%"
"10/27/2023","655,565.19","673,102.75","680,625.75","650,348.75","","-2.61%"
"10/26/2023","673,102.75","686,455.06","708,609.06","666,425.69","","-1.91%"
"10/25/2023","686,238.19","654,136.44","688,435.19","629,895.88","","4.91%"
"10/24/2023","654,136.44","701,205.19","734,134.94","637,483.25","","-6.71%"
"10/23/2023","701,205.19","800,804.75","800,804.75","699,479.81","","-12.44%"
"10/20/2023","800,804.75","764,079.44","809,199.25","764,079.44","","4.81%"
"10/19/2023","764,079.44","798,907.31","798,907.31","750,718.06","","-4.36%"
"10/18/2023","798,907.31","823,683.06","834,791.38","786,925.88","","-3.01%"
"10/17/2023","823,683.06","760,673.75","825,669.06","760,673.75","","8.28%"
"10/12/2023","760,673.75","716,543.69","768,067.69","708,781.38","","6.16%"
"10/11/2023","716,543.69","697,882.50","718,981.31","661,338.75","","2.68%"
"10/10/2023","697,833.69","649,732.81","716,690.81","649,718.81","","7.59%"
"10/09/2023","648,630.75","628,917.75","656,249.38","628,917.75","","3.13%"
"10/06/2023","628,917.75","613,071.63","637,029.75","613,071.63","","2.58%"
"10/05/2023","613,071.63","593,739.88","616,011.88","593,739.88","","3.26%"
"10/04/2023","593,739.88","561,427.00","594,748.44","557,095.31","","5.76%"
"10/03/2023","561,427.00","556,828.00","566,521.44","550,260.25","","0.83%"
"10/02/2023","556,828.00","562,568.50","566,430.06","556,059.50","","-1.02%"
"09/29/2023","562,568.50","581,685.50","590,523.94","560,941.19","","-3.25%"
"09/28/2023","581,468.94","557,023.44","582,633.31","557,023.44","","4.39%"
"09/27/2023","557,023.44","543,252.13","565,446.94","543,252.13","","2.53%"
"09/26/2023","543,252.13","548,544.75","558,702.56","542,781.56","","-0.96%"
"09/25/2023","548,544.75","553,392.19","557,495.63","543,839.19","","-0.88%"
"09/22/2023","553,392.19","553,754.81","565,016.56","552,649.69","","-0.07%"
"09/21/2023","553,754.81","562,032.63","565,511.19","546,885.44","","-1.47%"
"09/20/2023","562,032.63","576,676.13","583,318.69","559,701.31","","-2.54%"
"09/19/2023","576,676.13","585,204.44","587,217.25","568,962.00","","-1.46%"
"09/18/2023","585,204.44","567,513.44","586,456.94","567,513.44","","3.12%"
"09/15/2023","567,513.44","571,753.31","576,880.44","556,019.81","","-0.74%"
"09/14/2023","571,753.31","553,410.13","573,117.94","553,410.13","","3.31%"
"09/13/2023","553,410.13","538,084.50","555,404.06","536,113.13","","2.85%"
"09/12/2023","538,084.50","514,119.91","539,661.06","512,978.69","","4.67%"
"09/11/2023","514,073.78","532,550.38","541,898.88","508,068.22","","-3.47%"
"09/08/2023","532,550.38","548,015.13","565,736.75","527,353.56","","-2.82%"
"09/07/2023","548,015.13","584,655.06","584,655.06","546,941.88","","-6.16%"
"09/06/2023","583,982.63","598,133.38","607,515.44","583,982.63","","-2.37%"
"09/05/2023","598,133.38","633,243.31","633,243.31","597,354.38","","-5.54%"
"09/04/2023","633,243.31","634,999.25","641,501.19","632,175.19","","-0.24%"
"09/01/2023","634,791.69","653,602.88","664,108.75","633,694.25","","-2.88%"
"08/31/2023","653,602.88","675,841.00","678,565.63","646,899.31","","-3.29%"
"08/30/2023","675,841.00","683,587.69","689,924.00","667,208.69","","-1.13%"
"08/29/2023","683,587.69","665,523.94","690,781.69","665,523.94","","2.71%"
"08/28/2023","665,523.94","631,166.06","666,557.94","631,166.06","","5.44%"
"08/25/2023","631,166.06","613,509.06","631,379.63","612,387.13","","2.88%"
"08/24/2023","613,509.06","615,499.31","623,585.38","609,118.38","","-0.32%"
"08/23/2023","615,499.31","593,946.94","616,246.13","591,542.88","","3.63%"
"08/22/2023","593,946.94","584,293.19","594,873.50","575,440.19","","1.65%"
"08/18/2023","584,293.19","582,323.00","585,252.88","567,070.63","","0.34%"
"08/17/2023","582,323.00","563,124.69","583,387.94","563,124.69","","3.41%"
"08/16/2023","563,124.69","527,243.19","566,158.25","527,243.19","","6.81%"
"08/15/2023","527,243.19","496,114.56","528,172.31","496,114.56","","6.27%"
"08/14/2023","496,114.56","480,298.66","513,204.25","463,471.06","","3.30%"
"08/11/2023","480,252.63","470,380.50","480,914.59","470,380.50","","2.10%"
"08/10/2023","470,380.50","461,280.81","472,596.91","461,280.81","","1.97%"
"08/09/2023","461,280.81","466,194.19","475,259.16","460,334.56","","-1.05%"
"08/08/2023","466,194.19","452,400.88","474,376.22","452,400.88","","3.05%"
"08/07/2023","452,400.88","451,570.59","455,410.81","450,050.81","","0.18%"
