"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2023","21,451.73","21,796.43","21,796.43","21,293.61","","-1.56%"
"11/02/2023","21,792.38","21,697.87","21,872.87","21,666.11","","-0.11%"
"10/31/2023","21,817.42","21,796.01","21,820.83","21,690.34","","-0.23%"
"10/30/2023","21,867.26","21,934.20","22,022.25","21,781.76","","-0.34%"
"10/27/2023","21,941.31","22,062.68","22,143.80","21,905.02","","-0.54%"
"10/26/2023","22,059.55","22,158.94","22,350.18","22,055.18","","-0.45%"
"10/25/2023","22,158.66","22,222.41","22,266.53","22,158.66","","-0.24%"
"10/24/2023","22,212.93","21,954.35","22,229.76","21,935.36","","1.18%"
"10/23/2023","21,953.78","22,221.27","22,221.27","21,949.56","","-1.02%"
"10/20/2023","22,179.80","22,206.09","22,275.49","22,142.02","","-0.12%"
"10/19/2023","22,206.09","22,201.06","22,232.21","22,132.15","","-0.01%"
"10/18/2023","22,208.81","22,181.06","22,369.32","22,108.69","","-0.12%"
"10/17/2023","22,235.27","22,314.94","22,385.53","22,221.61","","-0.35%"
"10/16/2023","22,312.63","22,128.06","22,312.63","22,082.25","","0.74%"
"10/13/2023","22,148.42","22,166.88","22,334.47","22,148.42","","-0.07%"
"10/12/2023","22,162.84","22,250.39","22,317.04","22,142.68","","-0.39%"
"10/11/2023","22,250.10","22,270.63","22,310.36","22,196.80","","-0.08%"
"10/10/2023","22,268.30","22,289.22","22,296.40","22,175.57","","-0.12%"
"10/09/2023","22,295.60","22,249.83","22,333.30","22,234.42","","0.26%"
"10/06/2023","22,238.78","21,941.53","22,239.32","21,941.12","","1.36%"
"10/05/2023","21,940.38","22,009.19","22,097.64","21,905.96","","-0.31%"
"10/04/2023","22,008.90","22,180.85","22,180.85","21,999.07","","-0.78%"
"10/03/2023","22,180.85","22,158.37","22,255.86","22,056.95","","0.10%"
"10/02/2023","22,158.08","22,543.27","22,546.58","22,158.08","","-1.64%"
"09/29/2023","22,528.40","22,619.43","22,709.40","22,528.40","","-0.40%"
"09/28/2023","22,619.43","22,446.87","22,703.84","22,446.87","","0.40%"
"09/27/2023","22,529.13","22,603.43","22,638.04","22,466.61","","-0.33%"
"09/26/2023","22,603.43","22,707.11","22,719.63","22,591.50","","-0.46%"
"09/25/2023","22,707.11","22,617.32","22,782.35","22,613.69","","0.31%"
"09/22/2023","22,636.93","22,716.11","22,748.74","22,607.63","","-0.40%"
"09/21/2023","22,728.25","22,768.25","22,861.92","22,705.38","","-0.06%"
"09/20/2023","22,742.29","22,663.49","22,891.47","22,663.49","","0.02%"
"09/19/2023","22,737.53","22,928.45","22,987.38","22,737.53","","-0.86%"
"09/18/2023","22,935.25","22,927.61","22,971.05","22,877.07","","-0.12%"
"09/15/2023","22,961.91","23,180.42","23,249.62","22,902.51","","-0.78%"
"09/14/2023","23,143.38","22,788.02","23,152.83","22,788.02","","1.42%"
"09/13/2023","22,818.81","22,775.13","22,855.71","22,775.13","","-0.16%"
"09/12/2023","22,854.54","22,738.20","22,902.88","22,738.20","","0.32%"
"09/11/2023","22,781.57","22,729.71","22,815.86","22,663.09","","0.14%"
"09/08/2023","22,750.51","22,786.07","22,842.48","22,735.95","","-0.14%"
"09/07/2023","22,782.39","22,969.05","22,969.51","22,770.09","","-0.73%"
"09/06/2023","22,950.47","22,965.27","23,020.33","22,926.93","","-0.10%"
"09/05/2023","22,973.35","23,285.01","23,286.47","22,973.35","","-1.19%"
"09/04/2023","23,250.71","23,290.16","23,291.04","23,211.01","","-0.16%"
"09/01/2023","23,287.01","23,121.63","23,297.89","23,107.79","","0.66%"
"08/31/2023","23,133.53","23,350.53","23,392.15","23,111.52","","-0.87%"
"08/29/2023","23,336.30","23,116.27","23,336.50","23,065.28","","0.93%"
"08/28/2023","23,121.59","22,927.33","23,121.79","22,923.99","","0.80%"
"08/25/2023","22,936.96","22,979.97","23,011.63","22,879.46","","-0.19%"
